,data,hora,rodovia,km,municipio,tipo,gravidade,latitude,longitude
0,2019-01-01,03:30:00,304.0,288,MACAIBA,Colisão frontal,Com Vítimas Fatais,-5.889564,-35.489544
2,2019-01-02,08:50:00,304.0,25,MOSSORO,Colisão lateral,Com Vítimas Feridas,-5.064882,-37.33287
5,2019-01-02,14:10:00,304.0,294,MACAIBA,Colisão traseira,Sem Vítimas,-5.864849,-35.349312
7,2019-01-02,22:50:00,101.0,83,NATAL,Atropelamento de Pedestre,Com Vítimas Feridas,-5.771044,-35.266171
9,2019-01-03,14:40:00,101.0,110,PARNAMIRIM,Colisão transversal,Com Vítimas Feridas,-5.946376,-35.264851
11,2019-01-04,10:20:00,304.0,193,LAJES,Colisão transversal,Com Vítimas Feridas,-5.705923,-36.233528
13,2019-01-05,09:00:00,101.0,102,PARNAMIRIM,Colisão transversal,Com Vítimas Feridas,-5.88861,-35.24033
16,2019-01-06,17:45:00,101.0,84,SAO GONCALO DO AMARANTE,Queda de ocupante de veículo,Com Vítimas Feridas,-5.774175,-35.257801
19,2019-01-06,17:45:00,101.0,84,SAO GONCALO DO AMARANTE,Colisão traseira,Com Vítimas Feridas,-5.774175,-35.257801
22,2019-01-07,09:00:00,101.0,97,NATAL,Atropelamento de Pedestre,Com Vítimas Feridas,-5.857612,-35.212723
24,2019-01-11,19:00:00,110.0,1,AREIA BRANCA,Queda de ocupante de veículo,Com Vítimas Feridas,-4.95345832,-37.12881088
27,2019-01-11,19:00:00,110.0,1,AREIA BRANCA,Colisão lateral,Com Vítimas Feridas,-4.95345832,-37.12881088
30,2019-01-11,19:04:00,405.0,76,APODI,Colisão transversal,Com Vítimas Feridas,-5.652425,-37.799461
32,2019-01-12,09:00:00,101.0,84,NATAL,Colisão traseira,Com Vítimas Feridas,-5.774175,-35.257801
34,2019-01-12,14:50:00,101.0,58,CEARA-MIRIM,Colisão transversal,Com Vítimas Feridas,-5.587615,-35.276676
37,2019-01-13,18:30:00,427.0,95,CAICO,Atropelamento de Animal,Com Vítimas Feridas,-6.477626,-37.070442
38,2019-01-14,01:50:00,101.0,110,PARNAMIRIM,Capotamento,Com Vítimas Feridas,-5.946376,-35.264851
44,2019-01-14,01:50:00,101.0,110,PARNAMIRIM,Colisão lateral,Com Vítimas Feridas,-5.946376,-35.264851
50,2019-01-15,17:30:00,101.0,86,NATAL,Queda de ocupante de veículo,Com Vítimas Feridas,-5.786297,-35.245651
60,2019-01-15,17:30:00,101.0,86,NATAL,Colisão lateral,Com Vítimas Feridas,-5.786297,-35.245651
70,2019-01-07,16:13:00,101.0,95,NATAL,Colisão transversal,Com Vítimas Feridas,-5.840768,-35.210358
72,2019-01-16,16:55:00,101.0,98,NATAL,Colisão traseira,Com Vítimas Feridas,-5.865723,-35.216537
73,2019-01-16,22:15:00,101.0,83,NATAL,Colisão transversal,Com Vítimas Feridas,-5.771044,-35.266171
76,2019-01-17,22:30:00,110.0,51,MOSSORO,Atropelamento de Pedestre,Com Vítimas Feridas,-5.226844,-37.33197
80,2019-01-18,22:30:00,101.0,97,NATAL,Colisão lateral,Com Vítimas Feridas,-5.857612,-35.212723
83,2019-01-19,20:30:00,101.0,85,NATAL,Atropelamento de Pedestre,Com Vítimas Feridas,-5.777664,-35.249371
86,2019-01-19,21:45:00,304.0,123,ITAJA,Atropelamento de Animal,Com Vítimas Feridas,-5.65378,-36.815922
87,2019-01-20,22:45:00,101.0,78,NATAL,Colisão transversal,Com Vítimas Feridas,-5.740798,-35.290199
91,2019-01-21,16:30:00,304.0,116,ITAJA,Colisão lateral,Com Vítimas Feridas,-5.629953,-36.864231
95,2019-01-22,10:00:00,101.0,107,PARNAMIRIM,Colisão lateral,Sem Vítimas,-5.919193,-35.264118
97,2019-01-24,02:50:00,304.0,210,CAICARA DO RIO DO VENTO,Colisão traseira,Com Vítimas Feridas,-5.757041,-35.988892
99,2019-01-24,10:10:00,405.0,2,MOSSORO,Colisão transversal,Com Vítimas Feridas,-5.192827,-37.371124
102,2019-01-25,13:50:00,226.0,12,MACAIBA,Colisão traseira,Com Vítimas Feridas,-5.847669,-35.312698
106,2019-01-25,18:35:00,406.0,116,POCO BRANCO,Atropelamento de Animal,Com Vítimas Feridas,-5.57771698,-35.68771362
110,2019-01-26,08:30:00,101.0,135,SAO JOSE DE MIPIBU,Colisão traseira,Com Vítimas Feridas,-6.164453,-35.224861
112,2019-01-27,04:30:00,406.0,170,SAO GONCALO DO AMARANTE,Colisão com objeto estático,Sem Vítimas,-5.75917255,-35.29731274
113,2019-01-27,04:30:00,406.0,170,SAO GONCALO DO AMARANTE,Saída de leito carroçável,Sem Vítimas,-5.75917255,-35.29731274
114,2019-01-27,12:10:00,406.0,169,SAO GONCALO DO AMARANTE,Tombamento,Com Vítimas Feridas,-5.756651,-35.304758
118,2019-01-27,12:10:00,406.0,169,SAO GONCALO DO AMARANTE,Colisão transversal,Com Vítimas Feridas,-5.756651,-35.304758
122,2019-01-29,07:45:00,101.0,106,PARNAMIRIM,Queda de ocupante de veículo,Com Vítimas Feridas,-5.910553,-35.261307
125,2019-01-29,07:45:00,101.0,106,PARNAMIRIM,Atropelamento de Pedestre,Com Vítimas Feridas,-5.910553,-35.261307
128,2019-01-29,10:00:00,427.0,98,CAICO,Colisão transversal,Com Vítimas Feridas,-6.46277807,-37.09384561
130,2019-01-27,04:30:00,406.0,125,TAIPU,Atropelamento de Animal,Com Vítimas Feridas,-5.59821846,-35.62213898
131,2019-01-30,12:35:00,101.0,95,NATAL,Colisão lateral,Sem Vítimas,-5.840768,-35.210358
135,2019-01-30,13:40:00,101.0,99,NATAL,Colisão transversal,Com Vítimas Feridas,-5.87365,-35.220673
137,2019-01-30,14:10:00,101.0,97,NATAL,Engavetamento,Com Vítimas Feridas,-5.857612,-35.212723
143,2019-01-30,14:41:00,101.0,130,SAO JOSE DE MIPIBU,Capotamento,Com Vítimas Fatais,-6.119429,-35.229355
145,2019-01-30,14:41:00,101.0,130,SAO JOSE DE MIPIBU,Saída de leito carroçável,Com Vítimas Fatais,-6.119429,-35.229355
147,2019-01-30,14:41:00,101.0,130,SAO JOSE DE MIPIBU,Colisão com objeto estático,Com Vítimas Fatais,-6.119429,-35.229355
149,2019-01-30,22:00:00,304.0,34,MOSSORO,Atropelamento de Pedestre,Com Vítimas Feridas,-5.152564,-37.34874
153,2019-02-01,00:20:00,101.0,99,NATAL,Colisão lateral,Com Vítimas Feridas,-5.87365,-35.220673
155,2019-02-02,10:30:00,226.0,166,CURRAIS NOVOS,Tombamento,Com Vítimas Feridas,-6.204627,-36.402527
158,2019-02-03,06:47:00,304.0,289,MACAIBA,Colisão traseira,Com Vítimas Feridas,-5.864849,-35.349312
162,2019-02-03,17:50:00,304.0,50,MOSSORO,Tombamento,Com Vítimas Feridas,-5.253801,-37.307918
164,2019-02-03,19:00:00,405.0,146,CEARA-MIRIM,Colisão frontal,Com Vítimas Feridas,-5.64507088,-35.46878457
167,2019-02-04,07:20:00,304.0,41,MOSSORO,Colisão frontal,Com Vítimas Feridas,-5.204859,-37.376148
169,2019-02-04,07:20:00,406.0,156,CEARA-MIRIM,Colisão traseira,Com Vítimas Feridas,-5.67577584,-35.4006958
