row_id,ts,Unnamed: 0.1,Unnamed: 0,timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp,radar_area_original,has_acidente,has_multa,ground_truth,_ts_float,maf,road_type,gyro_z_dps,gyro_x,gyro_y,gyro_z,accel_magnitude,city_highway_int,city_highway_prob,city_highway,maf_estimated,co2_emission,co2_emission_per_km,total_distance,total_consumption,consumption_count,average_consumption,heading,m.teda.run.ok,m.teda.run.wall_ms,m.teda.run.cpu_user_s,m.teda.run.cpu_sys_s,m.teda.run.thread_cpu_s,m.teda.run.rss_mb,m.teda.run.mem_pct,m.mmcloud.process_point.ok,m.mmcloud.process_point.wall_ms,m.mmcloud.process_point.cpu_user_s,m.mmcloud.process_point.cpu_sys_s,m.mmcloud.process_point.thread_cpu_s,m.mmcloud.process_point.rss_mb,m.mmcloud.process_point.mem_pct,m.rf.fuel_type.ok,m.rf.fuel_type.wall_ms,m.rf.fuel_type.cpu_user_s,m.rf.fuel_type.cpu_sys_s,m.rf.fuel_type.thread_cpu_s,m.rf.fuel_type.rss_mb,m.rf.fuel_type.mem_pct,m.rf.city_highway.ok,m.rf.city_highway.wall_ms,m.rf.city_highway.cpu_user_s,m.rf.city_highway.cpu_sys_s,m.rf.city_highway.thread_cpu_s,m.rf.city_highway.rss_mb,m.rf.city_highway.mem_pct,policy_behavior,policy_severity,m.agent.behavior.ok,m.agent.behavior.wall_ms,m.agent.behavior.cpu_user_s,m.agent.behavior.cpu_sys_s,m.agent.behavior.thread_cpu_s,m.agent.behavior.rss_mb,m.agent.behavior.mem_pct,m.agent.safety_gps.ok,m.agent.safety_gps.wall_ms,m.agent.safety_gps.cpu_user_s,m.agent.safety_gps.cpu_sys_s,m.agent.safety_gps.thread_cpu_s,m.agent.safety_gps.rss_mb,m.agent.safety_gps.mem_pct,heading_message,orch_run_ms,orch_llm_enqueue_ms,llm_message,llm_source,llm_latency,llm_total_tokens,llm_input_tokens,llm_output_tokens,llm_total_ms_client,llm_cpu_avg_pct,llm_cpu_max_pct,llm_rss_peak_mb,llm_proc_samples,llm_proc_pid,llm_metrics_source,llm_agent_inserted_behavior_prf
1,2025-12-04T21:01:58.703262+00:00,0,0,2025-07-01T19:39:40.300056,0.0,871.0,32.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2751684454083222,-0.17101826068459602,9.80483292813708,normal,False,0.0255000000208838,Gasoline,1.0,184.4432940000047,0.0001290000000153,False,Cidade,[0.62 0.38],631.5236760000005,0.0,0.0,3.0211857,3.0211857,A,28.5,139.36,59.3,139.36,False,False,nenhum,,,,0.0,2.2708399798056416,2.2982888604629172,-1.5809314321651815,9.810184181121024,0.0,[0.6 0.4],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.026,1.6e-05,1e-06,2.2e-05,229.48,2.85,True,0.121,0.000113,8e-06,0.000121,229.48,2.85,True,0.006,5e-06,0.0,6e-06,229.48,2.85,True,179.192,0.126944,0.051792,0.178715,243.95,3.03,Cautious,low,True,0.043,3.5e-05,3e-06,4.1e-05,243.95,3.03,True,4.02,0.004002,1e-06,0.004001,243.95,3.03,,4.339975000220875,0.030703999982506502,Behavior: Cautious. PRF zone: none. Draft: Driving safety is important. Be mindful of your surroundings. PRF Zone: none.,model,,115,89,26,6308,130.90806451612903,307.5,654.140625,62,22630,server+client,True
2,2025-12-04T21:02:02.779573+00:00,1,1,2025-07-01T19:39:43.658232,0.0,871.0,32.0,70.0,0.0,0.0,16.0,97.65,0.0,0.0,-0.26207091722215514,-0.10542840782145357,9.726559125159723,normal,False,0.2081479999844759,Gasoline,1.0,50.42669999997429,0.0002040000026681,False,Rodovia,[0.2 0.8],130.82847100000097,0.0,0.0,3.0211857,1.51059285,A,28.5,395.36,58.2,395.36,False,False,nenhum,,,,0.0,-3.808931558417524,0.4171831000456896,-0.575577106705877,9.730660241219878,1.0,[0.2 0.8],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.193,0.000159,1.4e-05,0.000186,245.0,3.04,True,0.402,0.000372,3.1e-05,0.000402,245.0,3.04,True,0.017,1.2e-05,1e-06,1.5e-05,245.0,3.04,True,180.181,0.140337,0.035983,0.174967,246.2,3.06,Cautious,low,True,0.042,3.4e-05,3e-06,4e-05,246.2,3.06,True,3.605,0.003503,0.0,0.003497,246.2,3.06,,3.988734000813565,0.013314999705471564,,,,,,,,,,,,,,
3,2025-12-04T21:02:04.241210+00:00,2,2,2025-07-01T19:39:47.017887,0.0,871.0,32.0,70.0,-1.0,0.0,16.0,97.65,0.0,0.0,-0.2801051698632733,0.16308487587060272,9.713161728088252,cautious,False,0.0871299999971597,Gasoline,1.0,34.06558000000359,0.0001300000178616,True,Rodovia,[0.22 0.78],115.9289769999816,0.0,0.0,77.70653596347273,25.90217865449091,A,28.5,395.36,58.7,395.36,False,False,nenhum,,,,0.0,-4.776559380343576,2.3689959641295344,3.0421330798259394,9.718568121843887,1.0,[0.19 0.81],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.16,0.000125,1.1e-05,0.000148,246.2,3.06,True,0.21,0.000192,1.7e-05,0.000209,246.2,3.06,True,0.011,9e-06,0.0,1e-05,246.2,3.06,True,441.734,0.226452,0.098419,0.318623,272.36,3.38,Cautious,low,True,0.055,4e-05,5e-06,4.9e-05,272.36,3.38,True,3.184,0.003191,0.0,0.003187,272.36,3.38,,3.5611610001069494,0.058833000366576016,,,,,,,,,,,,,,
4,2025-12-04T21:02:05.831165+00:00,3,3,2025-07-01T19:39:50.511029,0.0,871.0,32.0,70.0,-1.0,0.0,16.0,97.65,0.0,0.0,0.26120254044650404,0.3929077756289734,9.701889354545127,cautious,False,0.1895380000007662,Gasoline,1.0,80.31248500000743,0.0001300000178616,True,Rodovia,[0.19 0.81],135.18794300000536,0.0,0.0,77.70653596347273,19.426633990868183,A,28.5,395.36,67.0,395.36,False,False,nenhum,,,,0.0,0.23153212157901137,-2.367773103412032,1.0922075771636939,9.713354741546377,1.0,[0.19 0.81],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.372,0.000318,3.4e-05,0.000364,272.36,3.38,True,1.035,0.001032,0.0,0.001058,272.36,3.38,True,0.06,4.3e-05,0.0,5.2e-05,272.36,3.38,True,555.922,0.372883,0.080194,0.443587,272.42,3.39,Cautious,low,True,0.113,5.7e-05,6e-06,6.8e-05,272.42,3.39,True,6.785,0.007143,0.0,0.0065,272.42,3.39,,7.469432999641867,0.03203699998266529,,,,,,,,,,,,,,
5,2025-12-04T21:02:07.338693+00:00,4,4,2025-07-01T19:39:53.897758,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,0.35197779080938196,0.049505160618202315,10.206353618563444,cautious,False,0.0977600000169331,Gasoline,1.0,41.811665000011544,0.0001850000046488,True,Rodovia,[0.19 0.81],120.04245700001093,0.0,0.0,77.70653596347273,15.541307192694546,A,28.5,395.36,60.4,395.36,False,False,nenhum,,,,0.0,3.546578160375578,2.3481276348292823,-3.0570263799849693,10.212540982209765,1.0,[0.28 0.72],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.165,0.000137,1.6e-05,0.000163,272.42,3.39,True,0.272,0.000237,2.8e-05,0.000272,272.42,3.39,True,0.012,9e-06,1e-06,1.2e-05,272.42,3.39,True,486.464,0.354199,0.065544,0.412358,272.17,3.38,Cautious,low,True,0.145,0.000119,1.5e-05,0.000142,272.17,3.38,True,8.069,0.007652,0.0,0.007629,272.17,3.38,,9.948835999239236,0.09811099971557269,,,,,,,,,,,,,,
6,2025-12-04T21:02:08.808555+00:00,5,5,2025-07-01T19:39:57.243562,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,-0.413097154852897,0.09220792735746286,9.513273457886077,cautious,False,0.0893700000119679,Gasoline,1.0,34.3761360000201,0.0001479999980347,True,Rodovia,[0.19 0.81],116.37247999999543,0.0,0.0,77.70653596347273,12.951089327245455,A,28.5,395.36,58.2,395.36,False,False,nenhum,,,,0.0,0.022987301860344367,-3.4760538294948926,3.2405827035915493,9.52268467637855,1.0,[0.24 0.76],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.331,0.000236,3e-05,0.000286,272.17,3.38,True,0.695,0.000645,8.2e-05,0.000699,272.17,3.38,True,0.083,5.3e-05,6e-06,7.6e-05,272.17,3.38,True,440.569,0.296558,0.058192,0.348191,272.2,3.38,Cautious,low,True,0.076,6.1e-05,0.0,7.1e-05,272.2,3.38,True,12.063,0.008423,0.003654,0.011397,272.2,3.38,,12.649369000428123,0.028370000109134708,,,,,,,,,,,,,,
7,2025-12-04T21:02:10.087597+00:00,6,6,2025-07-01T19:40:00.745214,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,-0.057690097446179256,-0.06578588944326813,10.217582918157424,cautious,False,0.0873150000018085,Gasoline,1.0,33.73785600001611,0.0001479999980347,True,Rodovia,[0.22 0.78],115.27660400000173,0.0,0.0,77.70653596347273,11.100933709067531,A,28.5,395.36,60.9,395.36,False,False,nenhum,,,,0.0,3.6455871493855803,-2.5954529923359226,-2.492114226818294,10.217957556185853,1.0,[0.28 0.72],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.087,7.3e-05,1e-05,8.3e-05,272.2,3.38,True,0.297,0.000252,3.4e-05,0.000294,272.2,3.38,True,0.011,8e-06,1e-06,1e-05,272.2,3.38,True,254.865,0.204614,0.044352,0.248955,272.33,3.38,Cautious,low,True,0.041,3.4e-05,5e-06,3.9e-05,272.33,3.38,True,4.219,0.004196,3.5e-05,0.004223,272.33,3.38,,4.626678000022366,0.018722999811870977,,,,,,,,,,,,,,
8,2025-12-04T21:02:11.418566+00:00,7,7,2025-07-01T19:40:04.103013,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,-0.05052570472545015,0.08328545374863694,10.139016895007883,cautious,False,0.2019079999797668,Gasoline,1.0,45.13012299997854,0.0002399999914359,True,Rodovia,[0.19 0.81],129.65538399998877,0.0,0.0,77.70653596347273,9.713316995434091,A,28.5,395.36,57.6,395.36,False,False,nenhum,,,,0.0,-0.207805821682026,0.5618312900910034,2.506220821324254,10.139484844453362,1.0,[0.28 0.72],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.108,8.5e-05,1.1e-05,0.000104,272.33,3.38,True,0.208,0.000185,2.5e-05,0.000207,272.33,3.38,True,0.013,8e-06,1e-06,1.2e-05,272.33,3.38,True,312.099,0.231452,0.075904,0.307343,272.31,3.38,Cautious,low,True,0.052,4e-05,5e-06,5e-05,272.31,3.38,True,6.747,0.0068,0.0,0.006763,272.31,3.38,,7.535118000305374,0.22198100032255752,Draft: Safety is paramount. Driving should be cautious. PRF Zone: none.,model,,112,89,23,3586,110.22285714285715,154.3,654.140625,35,22630,server+client,False
9,2025-12-04T21:02:15.777591+00:00,8,8,2025-07-01T19:40:07.448968,0.0,840.0,33.0,72.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,-0.2124517657238344,-0.4247374277579383,10.197738126719948,cautious,False,0.1035380000189434,Gasoline,1.0,34.74487899998735,0.0001299999894399,True,Cidade,[0.7 0.3],115.48303200001442,0.0,0.0,80.57427717164852,8.952697463516502,A,28.5,402.6,59.3,402.6,False,False,nenhum,,,,0.0,0.7994099265916716,-1.8030132360304894,1.9793404988979466,10.208790356181053,0.0,[0.81 0.19],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.191,0.000154,2.2e-05,0.000188,272.81,3.39,True,0.245,0.000211,3e-05,0.000244,272.81,3.39,True,0.009,6e-06,1e-06,8e-06,272.81,3.39,True,257.063,0.210706,0.043668,0.25222,272.88,3.39,Cautious,low,True,0.019,1.4e-05,2e-06,1.8e-05,272.88,3.39,True,11.575,0.011431,0.0,0.011419,272.88,3.39,,12.129296000239265,0.03909199949703179,,,,,,,,,,,,,,
10,2025-12-04T21:02:17.389082+00:00,9,9,2025-07-01T19:40:10.944583,0.0,840.0,33.0,72.0,-1.0,0.0,17.0,97.65,-5.8431992,-35.1977246,0.02800225317303806,0.21425170843726937,10.406364306626026,cautious,False,0.0826300000085211,Gasoline,1.0,33.726985000015475,0.0001110000198423,True,Cidade,[0.71 0.29],114.43195300000752,0.0,0.0,80.57427717164852,8.057427717164853,A,28.5,419.1,60.4,419.1,False,False,nenhum,,,,0.0,-0.05964736418915262,4.5146586266599815,4.357094036188679,10.408607303716055,0.0,[0.78 0.22],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.162,0.00012,1.7e-05,0.000154,272.88,3.39,True,0.276,0.00028,0.0,0.000278,272.88,3.39,True,0.011,8e-06,0.0,1e-05,272.88,3.39,True,585.812,0.368431,0.091232,0.450298,272.55,3.39,Cautious,low,True,0.026,1.7e-05,2e-06,2.3e-05,272.55,3.39,True,8.071,0.007759,0.0,0.00774,272.55,3.39,,8.61141299992596,0.022592999812331982,,,,,,,,,,,,,,
