row_id,ts,timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp,_ts_float,maf,road_type,gyro_z_dps,gyro_x,gyro_y,gyro_z,accel_magnitude,city_highway_int,city_highway_prob,city_highway,maf_estimated,co2_emission,co2_emission_per_km,total_distance,total_consumption,consumption_count,average_consumption,heading,m.teda.run.ok,m.teda.run.wall_ms,m.teda.run.cpu_user_s,m.teda.run.cpu_sys_s,m.teda.run.thread_cpu_s,m.teda.run.rss_mb,m.teda.run.mem_pct,m.mmcloud.process_point.ok,m.mmcloud.process_point.wall_ms,m.mmcloud.process_point.cpu_user_s,m.mmcloud.process_point.cpu_sys_s,m.mmcloud.process_point.thread_cpu_s,m.mmcloud.process_point.rss_mb,m.mmcloud.process_point.mem_pct,m.rf.fuel_type.ok,m.rf.fuel_type.wall_ms,m.rf.fuel_type.cpu_user_s,m.rf.fuel_type.cpu_sys_s,m.rf.fuel_type.thread_cpu_s,m.rf.fuel_type.rss_mb,m.rf.fuel_type.mem_pct,m.rf.city_highway.ok,m.rf.city_highway.wall_ms,m.rf.city_highway.cpu_user_s,m.rf.city_highway.cpu_sys_s,m.rf.city_highway.thread_cpu_s,m.rf.city_highway.rss_mb,m.rf.city_highway.mem_pct,policy_behavior,policy_severity,m.agent.behavior.ok,m.agent.behavior.wall_ms,m.agent.behavior.cpu_user_s,m.agent.behavior.cpu_sys_s,m.agent.behavior.thread_cpu_s,m.agent.behavior.rss_mb,m.agent.behavior.mem_pct,m.agent.safety_gps.ok,m.agent.safety_gps.wall_ms,m.agent.safety_gps.cpu_user_s,m.agent.safety_gps.cpu_sys_s,m.agent.safety_gps.thread_cpu_s,m.agent.safety_gps.rss_mb,m.agent.safety_gps.mem_pct,heading_message,orch_run_ms,orch_llm_enqueue_ms,llm_message,llm_source,llm_latency,llm_total_tokens,llm_input_tokens,llm_output_tokens,llm_total_ms_client,llm_cpu_avg_pct,llm_cpu_max_pct,llm_rss_peak_mb,llm_proc_samples,llm_proc_pid,llm_metrics_source,llm_agent_inserted_behavior_prf
1,2025-12-04T21:53:23.547606+00:00,2025-07-02T20:33:34.909358,0.0,958.0,45.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32657562901049575,0.1450369726735098,10.476462515613584,normal,False,0.0198329998966073,gasolina,1.0,82.45073999933084,0.0001480002538301,False,Cidade,[0.7 0.3],140.66916400042828,0.0,0.0,3.0211857,3.0211857,A,28.5,215.55,60.9,,,,0.0,2.933810638365081,-2.7293043550198126,-0.22957235381814467,10.482554755686344,0.0,[0.76 0.24],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.026,1.5e-05,1e-06,2.3e-05,228.45,2.84,True,0.122,0.000113,9e-06,0.000122,228.45,2.84,True,0.006,4e-06,0.0,6e-06,228.45,2.84,True,153.64,0.109273,0.04428,0.153543,243.36,3.02,Cautious,low,True,0.021,1.7e-05,2e-06,2e-05,243.36,3.02,True,2.404,0.002392,0.0,0.00239,243.36,3.02,,2.6463469985174015,0.02625900015118532,Behavior: Cautious. PRF zone: none. Draft: Driving safety is important. Be mindful of your surroundings. PRF Zone: none.,model,,115,89,26,6527,129.12812499999995,287.6,654.484375,64,33734,server+client,True
2,2025-12-04T21:53:27.856276+00:00,2025-07-02T20:33:38.302441,0.0,958.0,45.0,79.0,0.0,0.0,16.0,51.76,0.0,0.0,0.43680748435007577,0.49002510520313536,9.749314328292858,normal,False,0.1085179992514895,gasolina,1.0,45.011379999778,0.0001480002538301,False,Rodovia,[0.4 0.6],144.18167500116397,0.0,0.0,89.91777372732838,44.95888686366419,A,28.5,575.55,61.5,,,,0.0,3.643241830670725,-4.301499227204481,3.847580748353666,9.771389627579591,1.0,[0.2 0.8],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.18,0.000163,0.0,0.000174,243.89,3.03,True,0.42,0.00042,0.0,0.000419,243.89,3.03,True,0.017,1.2e-05,0.0,1.6e-05,243.89,3.03,True,401.081,0.318736,0.078813,0.391802,244.83,3.04,Cautious,low,True,0.057,4.2e-05,4e-06,5.4e-05,244.83,3.04,True,14.077,0.013109,0.000103,0.013184,244.83,3.04,,15.096751998498803,0.03612899854488205,,,,,,,,,,,,,,
3,2025-12-04T21:53:29.240916+00:00,2025-07-02T20:33:41.748943,0.0,958.0,45.0,79.0,-6.5,49.0,16.0,51.76,0.0,0.0,-0.4575941003016597,-0.159497550453636,10.069914601038253,cautious,False,0.105406999864499,etanol,1.0,50.109109999539214,0.0001850003172876,True,Cidade,[0.5 0.5],156.89681299954827,0.0,0.0,127.87595046668336,42.62531682222778,A,28.5,575.55,59.8,,,,0.0,1.6637256716558815,0.5578351412478302,0.16214381943732015,10.08156792872195,1.0,[0.42 0.58],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.181,0.000141,1.3e-05,0.000171,244.83,3.04,True,0.292,0.000265,2.5e-05,0.00029,244.83,3.04,True,0.012,1e-05,1e-06,1.1e-05,244.83,3.04,True,355.497,0.199569,0.060322,0.255583,271.47,3.37,Cautious,low,True,0.071,5.6e-05,0.0,6.5e-05,271.47,3.37,True,17.132,0.008449,0.000193,0.008611,271.47,3.37,,18.22663500024646,0.06672199924651068,,,,,,,,,,,,,,
4,2025-12-04T21:53:30.732219+00:00,2025-07-02T20:33:45.852375,0.0,958.0,45.0,79.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,0.13087299421510523,-0.165006627688858,10.444690480955556,cautious,False,0.2172959993913537,etanol,1.0,198.964719000287,0.0001480002538301,True,Rodovia,[0.41 0.59],503.6909400005243,0.0,0.0,127.87595046668336,31.968987616670837,A,28.5,575.55,68.6,,,,0.0,1.7463377815296486,2.708190538794458,-1.8741051372966933,10.44681358935631,1.0,[0.47 0.53],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.382,0.00031,3.3e-05,0.000368,271.47,3.37,True,6.071,0.000837,8.9e-05,0.000979,271.47,3.37,True,0.057,3.9e-05,4e-06,5e-05,271.47,3.37,True,449.031,0.334501,0.054966,0.380088,271.88,3.38,Cautious,low,True,0.162,0.0,3.9e-05,7.1e-05,271.88,3.38,True,4.076,0.001198,0.002898,0.004081,271.88,3.38,,4.8793240002851235,0.019889001123374328,,,,,,,,,,,,,,
5,2025-12-04T21:53:32.332622+00:00,2025-07-02T20:33:49.200907,0.0,951.0,44.0,80.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,0.4940942437968959,-0.39808546542509105,10.04969070363897,cautious,False,0.2987959996971767,etanol,1.0,44.07234499922197,0.0001289990905206,True,Cidade,[0.66 0.34],146.30480000050738,0.0,0.0,128.81720351954016,25.76344070390803,A,28.5,561.22,63.7,,,,0.0,3.010146785717472,-4.988891889309209,3.0863950171104158,10.069701306312092,0.0,[0.52 0.48],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.378,0.0003,3.4e-05,0.000363,271.88,3.38,True,0.523,0.000461,5.2e-05,0.000522,271.88,3.38,True,0.024,1.7e-05,2e-06,2.1e-05,271.88,3.38,True,577.96,0.382011,0.106105,0.479268,271.88,3.38,Cautious,low,True,0.071,6e-05,0.0,6.7e-05,271.88,3.38,True,10.423,0.003892,0.003629,0.006052,271.88,3.38,,16.27426800041576,0.02701800076465588,,,,,,,,,,,,,,
6,2025-12-04T21:53:33.872830+00:00,2025-07-02T20:33:52.661470,0.0,951.0,44.0,80.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,0.1278959918240835,0.33849533438324686,10.045383706332712,cautious,False,0.1393700003973208,etanol,1.0,60.72995599970454,0.0001670014171395,True,Cidade,[0.66 0.34],162.74378100024478,0.0,0.0,128.81720351954016,21.46953391992336,A,28.5,561.22,60.4,,,,0.0,-2.3334713489217354,-0.6903149969008249,3.4844540191004683,10.051898839700817,0.0,[0.52 0.48],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.388,0.000319,4e-05,0.000375,271.88,3.38,True,2.351,0.00115,0.000144,0.001377,271.88,3.38,True,0.074,4.8e-05,6e-06,6.5e-05,271.88,3.38,True,486.854,0.318102,0.072497,0.381813,271.5,3.37,Cautious,low,True,0.06,0.0,5.2e-05,5.6e-05,271.5,3.37,True,10.067,0.006992,0.002868,0.009639,271.5,3.37,,10.800740999911795,0.02377800046815537,,,,,,,,,,,,,,
7,2025-12-04T21:53:35.174562+00:00,2025-07-02T20:33:56.306799,0.0,951.0,44.0,80.0,-7.0,49.0,16.0,51.76,-5.8432131,-35.1976338,0.08417939598157653,0.10906394394948093,9.643731738637436,cautious,False,0.1017589984257938,etanol,1.0,43.858809000084875,0.0001299995346926,True,Cidade,[0.67 0.33],149.2835150002065,0.0,0.0,128.81720351954016,18.402457645648592,A,28.5,561.22,65.3,,,,0.0,1.3945834267848305,-4.513239634956517,-1.8322085705952098,9.64471580511218,0.0,[0.67 0.33],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.224,0.000176,2.3e-05,0.000213,271.5,3.37,True,0.297,0.000258,3.4e-05,0.000294,271.5,3.37,True,0.009,6e-06,1e-06,8e-06,271.5,3.37,True,279.763,0.229207,0.040097,0.269296,271.58,3.37,Cautious,low,True,0.022,1.8e-05,3e-06,2.1e-05,271.58,3.37,True,2.721,0.002692,0.0,0.002679,271.58,3.37,,3.270086999691557,0.034017999496427365,,,,,,,,,,,,,,
8,2025-12-04T21:53:36.493729+00:00,2025-07-02T20:33:59.739686,0.0,951.0,44.0,80.0,-7.0,49.0,16.0,51.76,-5.8432131,-35.1976338,-0.00718683792698005,-0.18246862743250047,10.038868138702625,cautious,False,0.1100739991670707,etanol,1.0,46.149803998559946,0.0002039996616076,True,Cidade,[0.67 0.33],149.5952560017031,0.0,0.0,128.81720351954016,16.10215043994252,A,28.5,561.22,63.7,,,,0.0,-0.989751946039731,0.38814902404329477,-1.8694237788681143,10.040528868386128,0.0,[0.5 0.5],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.148,0.000114,1.5e-05,0.000141,271.58,3.37,True,0.238,0.000207,2.8e-05,0.000236,271.58,3.37,True,0.012,8e-06,1e-06,1e-05,271.58,3.37,True,297.475,0.232833,0.055425,0.288243,271.98,3.38,Cautious,low,True,0.072,5.8e-05,8e-06,6.9e-05,271.98,3.38,True,8.087,0.008087,1.9e-05,0.008091,271.98,3.38,,9.110336000958341,0.057703000493347645,Draft: Safety is paramount. Driving should be cautious. PRF Zone: none.,model,,112,89,23,3760,107.77567567567571,158.6,654.484375,37,33734,server+client,False
9,2025-12-04T21:53:40.808150+00:00,2025-07-02T20:34:03.135189,0.0,950.0,45.0,80.0,-7.0,49.0,16.0,51.76,-5.8432127,-35.197634,-0.4421160358892281,-0.4787300727164969,9.73778011503379,cautious,False,0.1549620010337093,etanol,1.0,51.055772999461624,0.0001480002538301,True,Rodovia,[0.27 0.73],166.086200000791,0.0,0.0,128.9528005758765,14.328088952875166,A,28.5,573.75,64.2,,,,0.0,-1.6689539878640636,2.8817378855791382,-2.167760664884132,9.759559961415322,1.0,[0.26 0.74],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.233,0.00018,2.5e-05,0.000223,272.5,3.39,True,0.263,0.00023,3.1e-05,0.000261,272.5,3.39,True,0.011,8e-06,1e-06,1.1e-05,272.5,3.39,True,283.499,0.232635,0.048005,0.277695,272.48,3.39,Cautious,low,True,0.069,5.4e-05,7e-06,6.1e-05,272.48,3.39,True,11.719,0.011634,0.0,0.011643,272.48,3.39,,12.898662998850341,0.039741000364301726,,,,,,,,,,,,,,
10,2025-12-04T21:53:42.371084+00:00,2025-07-02T20:34:06.850952,0.0,950.0,45.0,80.0,-7.0,49.0,16.0,51.76,-5.8432127,-35.197634,0.21331295880536905,0.2046204469562133,10.008594896903036,cautious,False,0.1034630004141945,etanol,1.0,103.15245300080278,0.0001110001903725,True,Rodovia,[0.38 0.62],205.6711289988016,0.0,0.0,128.9528005758765,12.89528005758765,A,28.5,573.75,68.6,,,,0.0,-4.108029609380557,-1.4326134691974488,-0.6344031345881449,10.012958791287437,1.0,[0.4 0.6],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.374,0.00029,4.1e-05,0.000361,272.48,3.39,True,1.672,0.0,0.000908,0.000921,272.48,3.39,True,0.025,0.0,1.7e-05,2.2e-05,272.48,3.39,True,532.764,0.338558,0.079816,0.410296,272.66,3.39,Cautious,low,True,0.053,3.6e-05,5e-06,4.8e-05,272.66,3.39,True,3.917,0.003889,0.0,0.003881,272.66,3.39,,4.619213999831118,0.019314999008201994,,,,,,,,,,,,,,
