row_id,ts,timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp,_ts_float,maf,road_type,gyro_z_dps,gyro_x,gyro_y,gyro_z,accel_magnitude,city_highway_int,city_highway_prob,city_highway,maf_estimated,co2_emission,co2_emission_per_km,total_distance,total_consumption,consumption_count,average_consumption,heading,m.teda.run.ok,m.teda.run.wall_ms,m.teda.run.cpu_user_s,m.teda.run.cpu_sys_s,m.teda.run.thread_cpu_s,m.teda.run.rss_mb,m.teda.run.mem_pct,m.mmcloud.process_point.ok,m.mmcloud.process_point.wall_ms,m.mmcloud.process_point.cpu_user_s,m.mmcloud.process_point.cpu_sys_s,m.mmcloud.process_point.thread_cpu_s,m.mmcloud.process_point.rss_mb,m.mmcloud.process_point.mem_pct,m.rf.fuel_type.ok,m.rf.fuel_type.wall_ms,m.rf.fuel_type.cpu_user_s,m.rf.fuel_type.cpu_sys_s,m.rf.fuel_type.thread_cpu_s,m.rf.fuel_type.rss_mb,m.rf.fuel_type.mem_pct,m.rf.city_highway.ok,m.rf.city_highway.wall_ms,m.rf.city_highway.cpu_user_s,m.rf.city_highway.cpu_sys_s,m.rf.city_highway.thread_cpu_s,m.rf.city_highway.rss_mb,m.rf.city_highway.mem_pct,policy_behavior,policy_severity,m.agent.behavior.ok,m.agent.behavior.wall_ms,m.agent.behavior.cpu_user_s,m.agent.behavior.cpu_sys_s,m.agent.behavior.thread_cpu_s,m.agent.behavior.rss_mb,m.agent.behavior.mem_pct,m.agent.safety_gps.ok,m.agent.safety_gps.wall_ms,m.agent.safety_gps.cpu_user_s,m.agent.safety_gps.cpu_sys_s,m.agent.safety_gps.thread_cpu_s,m.agent.safety_gps.rss_mb,m.agent.safety_gps.mem_pct,heading_message,orch_run_ms,orch_llm_enqueue_ms,llm_message,llm_source,llm_latency,llm_total_tokens,llm_input_tokens,llm_output_tokens,llm_total_ms_client,llm_cpu_avg_pct,llm_cpu_max_pct,llm_rss_peak_mb,llm_proc_samples,llm_proc_pid,llm_metrics_source,llm_agent_inserted_behavior_prf
1,2025-12-04T23:45:52.879472+00:00,2025-07-02T17:46:13.559671,0.0,961.0,22.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4117103059936037,0.21217799936170578,10.482868444794212,normal,False,0.0271110000085172,gasolina,1.0,98.5299880000241,0.0001479999980347,False,Cidade,[0.81 0.19],616.3329820000172,0.0,0.0,3.0211857,3.0211857,A,28.5,105.71,57.6,,,,0.0,-1.6954796004400077,0.6696145207213897,4.565219015571397,10.493095620946981,0.0,[0.79 0.21],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.026,1.6e-05,1e-06,2.3e-05,229.02,2.85,True,0.12,0.000112,7e-06,0.000119,229.02,2.85,True,0.006,4e-06,0.0,6e-06,229.02,2.85,True,164.304,0.104461,0.059767,0.164218,243.8,3.03,Cautious,low,True,0.026,2.1e-05,2e-06,2.5e-05,243.8,3.03,True,2.456,0.002444,0.0,0.002441,243.8,3.03,,2.7332729987392668,0.02848199801519513,Behavior: Cautious. PRF zone: none. Draft: Driving safety is important. Be mindful of your surroundings. PRF Zone: none.,model,,115,89,26,6505,126.17812499999998,283.6,654.53125,64,56709,server+client,True
2,2025-12-04T23:45:57.181492+00:00,2025-07-02T17:46:17.027402,0.0,961.0,22.0,63.0,0.0,0.0,17.0,69.8,-5.843196,-35.1975245,0.4041501255875277,0.49882893401032635,9.621587526252666,normal,False,0.1135369999758495,gasolina,1.0,50.838050999999496,0.000166999996054,False,Cidade,[0.84 0.16],168.1044780000036,0.0,0.0,3.0211857,1.51059285,A,28.5,292.71,57.1,,,,0.0,1.4395583575417623,0.038718503569493024,1.946140726501011,9.642982637895766,0.0,[0.89 0.11],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.161,0.000135,1e-05,0.000156,244.33,3.04,True,0.345,0.000313,2.3e-05,0.000333,244.33,3.04,True,0.009,7e-06,0.0,8e-06,244.33,3.04,True,399.506,0.300218,0.092453,0.387933,245.27,3.05,Cautious,low,True,0.19,0.00016,0.0,0.000179,245.27,3.05,True,6.269,0.00623,0.0,0.006233,245.27,3.05,,7.7467459996114485,0.02072200004477054,,,,,,,,,,,,,,
3,2025-12-04T23:45:58.506262+00:00,2025-07-02T17:46:20.474007,0.0,961.0,22.0,63.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,-0.36857945426042016,0.27529303199512956,9.950015273039462,cautious,False,0.0932030000058148,gasolina,1.0,43.98112300000889,0.0001479999980347,True,Cidade,[0.96 0.04],172.88108300002136,0.0,0.0,64.38792625388662,21.46264208462887,A,28.5,292.71,58.7,,,,0.0,1.4731721179602166,3.6406474929127324,0.555256030869308,9.960644607719248,0.0,[0.96 0.04],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.156,0.000126,1.1e-05,0.000149,245.27,3.05,True,0.986,0.000929,8.3e-05,0.000992,245.27,3.05,True,0.118,0.000102,0.0,0.000111,245.27,3.05,True,304.856,0.201178,0.074103,0.27168,271.47,3.37,Cautious,low,True,0.071,4.4e-05,5e-06,6.7e-05,271.47,3.37,True,3.281,0.003199,0.0,0.0032,271.47,3.37,,3.9157339997473173,0.014703997294418514,,,,,,,,,,,,,,
4,2025-12-04T23:46:00.089439+00:00,2025-07-02T17:46:24.492771,0.0,961.0,22.0,63.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,0.1686885283895483,0.41185470463759166,10.113629927074694,cautious,False,0.2827200000012908,gasolina,1.0,167.38916700001027,0.0001299999894399,True,Cidade,[0.93 0.07],458.02015600000345,0.0,0.0,64.38792625388662,16.096981563471655,A,28.5,292.71,65.3,,,,0.0,-1.4584482477927252,-4.07028644526455,-1.9358603675349038,10.123417921787247,0.0,[0.93 0.07],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.376,0.000318,3.2e-05,0.000366,271.47,3.37,True,9.891,0.000801,8.2e-05,0.000982,271.47,3.37,True,0.066,4.4e-05,0.0,5.6e-05,271.47,3.37,True,550.975,0.350627,0.097946,0.439231,271.47,3.37,Cautious,low,True,0.066,4.5e-05,5e-06,5.9e-05,271.47,3.37,True,10.491,0.005158,0.003648,0.008745,271.47,3.37,,11.49248100045952,0.026702997274696827,,,,,,,,,,,,,,
5,2025-12-04T23:46:01.660918+00:00,2025-07-02T17:46:27.898848,0.0,993.0,17.0,64.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,-0.49461192835250134,-0.3453856809462801,10.113696378629909,cautious,False,0.0987960000031762,gasolina,1.0,44.8251560000017,0.0001299999894399,True,Cidade,[1. 0.],160.08157600001027,0.0,0.0,62.3129880463092,12.46259760926184,A,28.5,228.905,60.4,,,,0.0,2.623051696281559,0.9358395291529975,1.2398977441275303,10.131672451643068,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.25,0.000188,2.2e-05,0.000233,271.47,3.37,True,0.507,0.0,0.000559,0.000503,271.47,3.37,True,0.047,0.0,3.2e-05,4e-05,271.47,3.37,True,541.513,0.387029,0.089439,0.467344,271.31,3.37,Cautious,low,True,0.037,3e-05,3e-06,3.5e-05,271.31,3.37,True,7.066,0.006959,0.000381,0.006863,271.31,3.37,,8.275968000816647,0.06448100248235278,,,,,,,,,,,,,,
6,2025-12-04T23:46:03.169149+00:00,2025-07-02T17:46:31.317074,0.0,993.0,17.0,64.0,-10.5,39.0,16.0,69.8,-5.843196,-35.1975245,-0.49819687172636007,0.06411668756842392,10.12128970514361,cautious,False,0.1977949999911743,gasolina,1.0,44.729951999983086,0.0001479999980347,True,Cidade,[1. 0.],163.75457499998447,0.0,0.0,62.3129880463092,10.3854980077182,A,28.5,220.405,60.4,,,,0.0,3.6043928808701065,1.7197503331007349,-4.414290297396865,10.133746413250567,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.333,0.000377,0.0,0.000371,271.31,3.37,True,0.527,0.000513,0.0,0.000521,271.31,3.37,True,0.02,1.6e-05,0.0,1.8e-05,271.31,3.37,True,474.977,0.319681,0.092549,0.404201,271.88,3.38,Cautious,low,True,0.038,3e-05,4e-06,3.7e-05,271.88,3.38,True,12.206,0.012077,3.2e-05,0.012092,271.88,3.38,,12.842905001889449,0.034166998375440016,,,,,,,,,,,,,,
7,2025-12-04T23:46:04.465466+00:00,2025-07-02T17:46:34.923924,0.0,993.0,17.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,0.4902414605765144,-0.041613855433270786,10.41248703118636,cautious,False,0.2231099999789876,gasolina,1.0,56.73074200001338,0.000166999996054,True,Cidade,[1. 0.],172.55015800000706,0.0,0.0,76.52472216213413,10.93210316601916,A,28.5,220.405,63.1,,,,0.0,1.2272686821067227,1.0923415775570238,-2.2582511976150665,10.424104497617835,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.904,0.000214,2.9e-05,0.000249,236.06,2.93,True,0.213,0.000188,2.5e-05,0.000214,236.06,2.93,True,0.011,7e-06,1e-06,9e-06,236.06,2.93,True,268.883,0.207595,0.058997,0.266585,245.94,3.06,Cautious,low,True,0.082,6.5e-05,9e-06,7.7e-05,245.94,3.06,True,7.523,0.007539,0.0,0.007528,245.94,3.06,,8.236837998992996,0.02461099938955158,,,,,,,,,,,,,,
8,2025-12-04T23:46:05.780581+00:00,2025-07-02T17:46:38.322568,0.0,993.0,17.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,-0.12157559407841301,-0.030549694597235777,9.511667822626576,cautious,False,0.1747769999838055,gasolina,1.0,42.17105899999751,0.0002230000006875,True,Cidade,[0.99 0.01],167.47411099999,0.0,0.0,76.52472216213413,9.565590270266766,A,28.5,220.405,60.4,,,,0.0,-4.586964363156362,-3.0406095398519026,2.941629402833258,9.512493820071859,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.179,0.00014,2e-05,0.000171,245.94,3.06,True,0.321,0.000319,0.0,0.00032,245.94,3.06,True,0.013,1.1e-05,0.0,1.2e-05,245.94,3.06,True,294.747,0.196919,0.095485,0.29239,246.14,3.06,Cautious,low,True,0.111,9.6e-05,0.0,0.000104,246.14,3.06,True,7.82,0.007841,0.0,0.007832,246.14,3.06,,8.743373997276649,0.07931499931146391,Draft: Safety is paramount. Driving should be cautious. PRF Zone: none.,model,,112,89,23,3733,105.82432432432432,148.4,654.53125,37,56709,server+client,False
9,2025-12-04T23:46:10.069849+00:00,2025-07-02T17:46:41.727730,6.0,1327.0,39.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,0.3927360696476796,-0.19554439328598616,10.185191145307256,normal,True,0.1101659999847015,gasolina,1.0,48.11556499998915,0.0001299999894399,False,Cidade,[0.8 0.2],170.40161400001352,0.0,0.0016666666666666,2134.929467929132,237.21438532545912,A,28.5,658.575,60.9,,,,0.0,-1.412703911034309,0.5071290984954313,0.437049769084199,10.194635741241235,0.0,[0.78 0.22],City,False,0.0,0.0,0.0016666666666666668,0.0,1,0.0,N,True,0.145,0.000108,1.7e-05,0.000139,246.14,3.06,True,0.234,0.000202,3.2e-05,0.000233,246.14,3.06,True,0.006,5e-06,1e-06,6e-06,246.14,3.06,True,285.437,0.22587,0.059384,0.281333,246.14,3.06,Cautious,low,True,0.028,2e-05,4e-06,2.7e-05,246.14,3.06,True,16.726,0.016587,0.000121,0.016696,246.14,3.06,,17.201767001097323,0.05596300252364017,,,,,,,,,,,,,,
10,2025-12-04T23:46:11.649591+00:00,2025-07-02T17:46:45.547439,6.0,1327.0,39.0,65.0,-13.0,39.0,22.0,69.8,-5.8431958,-35.1975247,0.38072582267123434,0.029016801250687507,9.785365807899591,normal,True,0.4046650000191221,gasolina,1.0,205.43609899999635,0.0001299999894399,False,Cidade,[0.76 0.24],198.43215399998823,0.0,0.0016666666666666,2134.929467929132,213.4929467929132,A,28.5,793.575,63.7,,,,0.0,-4.42493785875045,-3.634165610048906,4.935607499356456,9.792812574598472,0.0,[0.76 0.24],City,False,0.0,0.0,0.0016666666666666668,0.0,1,0.0,N,True,0.294,0.00023,3.7e-05,0.000284,246.14,3.06,True,0.79,0.000671,0.000107,0.00079,246.14,3.06,True,0.047,2.4e-05,4e-06,4.2e-05,246.14,3.06,True,540.404,0.378228,0.075753,0.446305,245.94,3.06,Cautious,low,True,0.034,2.3e-05,4e-06,3.1e-05,245.94,3.06,True,8.015,0.008018,1.6e-05,0.00802,245.94,3.06,,8.524559998477343,0.015036999684525654,,,,,,,,,,,,,,
