row_id,ts,timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp,_ts_float,maf,road_type,gyro_z_dps,gyro_x,gyro_y,gyro_z,accel_magnitude,city_highway_int,city_highway_prob,city_highway,maf_estimated,co2_emission,co2_emission_per_km,total_distance,total_consumption,consumption_count,average_consumption,heading,m.teda.run.ok,m.teda.run.wall_ms,m.teda.run.cpu_user_s,m.teda.run.cpu_sys_s,m.teda.run.thread_cpu_s,m.teda.run.rss_mb,m.teda.run.mem_pct,m.mmcloud.process_point.ok,m.mmcloud.process_point.wall_ms,m.mmcloud.process_point.cpu_user_s,m.mmcloud.process_point.cpu_sys_s,m.mmcloud.process_point.thread_cpu_s,m.mmcloud.process_point.rss_mb,m.mmcloud.process_point.mem_pct,m.rf.fuel_type.ok,m.rf.fuel_type.wall_ms,m.rf.fuel_type.cpu_user_s,m.rf.fuel_type.cpu_sys_s,m.rf.fuel_type.thread_cpu_s,m.rf.fuel_type.rss_mb,m.rf.fuel_type.mem_pct,m.rf.city_highway.ok,m.rf.city_highway.wall_ms,m.rf.city_highway.cpu_user_s,m.rf.city_highway.cpu_sys_s,m.rf.city_highway.thread_cpu_s,m.rf.city_highway.rss_mb,m.rf.city_highway.mem_pct,policy_behavior,policy_severity,m.agent.behavior.ok,m.agent.behavior.wall_ms,m.agent.behavior.cpu_user_s,m.agent.behavior.cpu_sys_s,m.agent.behavior.thread_cpu_s,m.agent.behavior.rss_mb,m.agent.behavior.mem_pct,m.agent.safety_gps.ok,m.agent.safety_gps.wall_ms,m.agent.safety_gps.cpu_user_s,m.agent.safety_gps.cpu_sys_s,m.agent.safety_gps.thread_cpu_s,m.agent.safety_gps.rss_mb,m.agent.safety_gps.mem_pct,heading_message,orch_run_ms,orch_llm_enqueue_ms,llm_message,llm_source,llm_latency,llm_total_tokens,llm_input_tokens,llm_output_tokens,llm_total_ms_client,llm_cpu_avg_pct,llm_cpu_max_pct,llm_rss_peak_mb,llm_proc_samples,llm_proc_pid,llm_metrics_source,llm_agent_inserted_behavior_prf
1,2025-12-05T11:07:18.681757+00:00,2025-07-02T20:33:34.909358,0.0,958.0,45.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09544460749850925,-0.46690014978373506,10.323182285284503,normal,False,0.0198329998966073,gasolina,1.0,82.45073999933084,0.0001480002538301,False,Cidade,[0.7 0.3],140.66916400042828,0.0,0.0,3.0211857,3.0211857,A,28.5,215.55,60.9,,,,0.0,0.5561868796442235,1.7265341880413088,0.23220342571169894,10.334176208976718,0.0,[0.76 0.24],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.026,1.6e-05,0.0,2.3e-05,228.98,2.85,True,0.119,0.000113,5e-06,0.000119,228.98,2.85,True,0.006,5e-06,0.0,6e-06,228.98,2.85,True,178.281,0.118827,0.05933,0.178149,243.83,3.03,Cautious,low,True,0.022,1.8e-05,1e-06,2.1e-05,243.83,3.03,True,2.357,0.002342,0.0,0.00234,243.83,3.03,,2.597477000563231,0.027426000087871216,"Behavior: Cautious. PRF zone: none. Cautious driving is crucial for safety and fuel economy. It promotes responsible behavior, ensuring a safer journey.",model,,85,63,22,3879,126.84473684210528,178.3,627.6875,38,35843,server+client,True
2,2025-12-05T11:07:23.113974+00:00,2025-07-02T20:33:38.302441,0.0,958.0,45.0,79.0,0.0,0.0,16.0,51.76,0.0,0.0,0.21446372745257736,0.2240638470851546,10.333446895212063,normal,False,0.1085179992514895,gasolina,1.0,45.011379999778,0.0001480002538301,False,Rodovia,[0.4 0.6],144.18167500116397,0.0,0.0,89.91777372732838,44.95888686366419,A,28.5,575.55,61.5,,,,0.0,-4.128516572242505,0.515221072722742,-3.407860129921586,10.33810060089044,1.0,[0.4 0.6],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.229,0.000202,1.3e-05,0.000224,244.36,3.04,True,0.73,0.000691,4.2e-05,0.000731,244.36,3.04,True,0.028,1.6e-05,0.0,2.2e-05,244.36,3.04,True,448.323,0.359247,0.087287,0.440386,245.31,3.05,Cautious,low,True,0.078,6e-05,5e-06,7.1e-05,245.31,3.05,True,12.0,0.012005,7e-06,0.012003,245.31,3.05,,12.716367000393802,0.028018000193696935,,,,,,,,,,,,,,
3,2025-12-05T11:07:24.547372+00:00,2025-07-02T20:33:41.748943,0.0,958.0,45.0,79.0,-6.5,49.0,16.0,51.76,0.0,0.0,-0.27498839993344226,-0.19862673484242366,9.737152632971167,cautious,False,0.105406999864499,etanol,1.0,50.109109999539214,0.0001850003172876,True,Cidade,[0.5 0.5],156.89681299954827,0.0,0.0,127.87595046668336,42.62531682222778,A,28.5,575.55,59.8,,,,0.0,-2.400769441039965,1.3872856323184068,-0.701566736776372,9.743059714364346,1.0,[0.26 0.74],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.174,0.00014,1e-05,0.000165,245.31,3.05,True,0.37,0.0,0.000371,0.000371,245.31,3.05,True,0.014,0.0,1.1e-05,1.2e-05,245.31,3.05,True,405.822,0.243337,0.063334,0.302942,271.55,3.37,Cautious,low,True,0.049,4.1e-05,4e-06,4.7e-05,271.55,3.37,True,10.855,0.006167,0.0,0.006129,271.55,3.37,,11.617109000326309,0.043851000555150677,,,,,,,,,,,,,,
4,2025-12-05T11:07:26.013734+00:00,2025-07-02T20:33:45.852375,0.0,958.0,45.0,79.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,-0.3395216792710114,-0.4376811017245986,10.072075391985065,cautious,False,0.2172959993913537,etanol,1.0,198.964719000287,0.0001480002538301,True,Rodovia,[0.41 0.59],503.6909400005243,0.0,0.0,127.87595046668336,31.968987616670837,A,28.5,575.55,68.6,,,,0.0,1.727145182369921,-0.8611744083052484,4.683810361356965,10.08729609059499,1.0,[0.43 0.57],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.138,0.000114,1e-05,0.000135,271.55,3.37,True,0.318,0.000313,0.0,0.000316,271.55,3.37,True,0.011,8e-06,0.0,1.1e-05,271.55,3.37,True,439.922,0.263078,0.044656,0.304244,271.45,3.37,Cautious,low,True,0.072,5.8e-05,6e-06,6.9e-05,271.45,3.37,True,11.221,0.007173,0.000294,0.007436,271.45,3.37,,14.79408599971066,0.02548100019339472,,,,,,,,,,,,,,
5,2025-12-05T11:07:27.628259+00:00,2025-07-02T20:33:49.200907,0.0,951.0,44.0,80.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,-0.41670440963738353,-0.36621311179997007,10.264915347696947,cautious,False,0.2987959996971767,etanol,1.0,44.07234499922197,0.0001289990905206,True,Cidade,[0.66 0.34],146.30480000050738,0.0,0.0,128.81720351954016,25.76344070390803,A,28.5,561.22,63.7,,,,0.0,2.015712325058158,-3.47161475264113,0.5755929167028544,10.279895023960595,0.0,[0.59 0.41],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.486,0.000416,4e-05,0.000468,271.45,3.37,True,0.871,0.00086,0.0,0.000864,271.45,3.37,True,0.089,5.7e-05,0.0,7.9e-05,271.45,3.37,True,570.863,0.341009,0.073009,0.402518,271.55,3.37,Cautious,low,True,0.092,8.6e-05,0.0,9e-05,271.55,3.37,True,9.151,0.009008,0.0,0.008994,271.55,3.37,,10.143649000383448,0.02196300010837149,,,,,,,,,,,,,,
6,2025-12-05T11:07:29.348048+00:00,2025-07-02T20:33:52.661470,0.0,951.0,44.0,80.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,0.32206661928769353,-0.15911229573603647,9.777380010629333,cautious,False,0.1393700003973208,etanol,1.0,60.72995599970454,0.0001670014171395,True,Cidade,[0.66 0.34],162.74378100024478,0.0,0.0,128.81720351954016,21.46953391992336,A,28.5,561.22,60.4,,,,0.0,-0.5375104187873836,-4.442838954726872,-2.529396985922502,9.783976875594497,1.0,[0.44 0.56],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.243,0.000184,1.9e-05,0.000232,271.55,3.37,True,0.201,0.000183,1.9e-05,0.000202,271.55,3.37,True,0.008,6e-06,1e-06,7e-06,271.55,3.37,True,693.161,0.377026,0.121941,0.489524,271.62,3.38,Cautious,low,True,0.065,5e-05,0.0,5.9e-05,271.62,3.38,True,7.044,0.006724,0.0,0.006709,271.62,3.38,,7.822931000191602,0.03166599981341278,,,,,,,,,,,,,,
7,2025-12-05T11:07:30.941565+00:00,2025-07-02T20:33:56.306799,0.0,951.0,44.0,80.0,-7.0,49.0,16.0,51.76,-5.8432131,-35.1976338,-0.35900488607207737,0.19429625506147385,10.257229368609066,cautious,False,0.1017589984257938,etanol,1.0,43.858809000084875,0.0001299995346926,True,Cidade,[0.67 0.33],149.2835150002065,0.0,0.0,128.81720351954016,18.402457645648592,A,28.5,561.22,65.3,,,,0.0,3.844503790662415,-4.909432400578444,0.8017731621552713,10.265348988865934,0.0,[0.58 0.42],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.577,0.00054,0.0,0.000562,271.62,3.38,True,0.521,0.00053,0.0,0.000522,271.62,3.38,True,0.056,3.6e-05,0.0,4.7e-05,271.62,3.38,True,566.73,0.409016,0.07519,0.472731,271.67,3.38,Cautious,low,True,0.022,1.8e-05,2e-06,2.1e-05,271.67,3.38,True,10.692,0.007352,0.000417,0.007756,271.67,3.38,,13.363736000428617,0.12494399925344624,Behavior: Cautious. PRF zone: none. Cautious driving is crucial for safety and fuel economy. It's a wise practice to maintain caution in all driving conditions.,model,,88,63,25,4359,125.22142857142858,177.8,627.6875,42,35843,server+client,True
8,2025-12-05T11:07:36.242239+00:00,2025-07-02T20:33:59.739686,0.0,951.0,44.0,80.0,-7.0,49.0,16.0,51.76,-5.8432131,-35.1976338,-0.26700328640384696,0.20466657080299377,10.382721264888868,cautious,False,0.1100739991670707,etanol,1.0,46.149803998559946,0.0002039996616076,True,Cidade,[0.67 0.33],149.5952560017031,0.0,0.0,128.81720351954016,16.10215043994252,A,28.5,561.22,63.7,,,,0.0,3.3222189561140922,-1.3110878652558688,-3.323564844140053,10.388170196166898,0.0,[0.59 0.41],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.184,0.000147,1.8e-05,0.000179,272.17,3.38,True,0.684,0.000601,0.0,0.000598,272.17,3.38,True,0.029,1.7e-05,0.0,2.5e-05,272.17,3.38,True,292.634,0.231577,0.058843,0.281143,272.48,3.39,Cautious,low,True,0.077,5.9e-05,8e-06,7.3e-05,272.48,3.39,True,13.131,0.012944,0.000134,0.013073,272.48,3.39,,13.7517539997134,0.0932040002226131,,,,,,,,,,,,,,
9,2025-12-05T11:07:37.777391+00:00,2025-07-02T20:34:03.135189,0.0,950.0,45.0,80.0,-7.0,49.0,16.0,51.76,-5.8432127,-35.197634,0.14126587530238255,-0.40372353514191484,9.909399115183337,cautious,False,0.1549620010337093,etanol,1.0,51.055772999461624,0.0001480002538301,True,Rodovia,[0.27 0.73],166.086200000791,0.0,0.0,128.9528005758765,14.328088952875166,A,28.5,573.75,64.2,,,,0.0,-2.816601263006656,0.7636980195199685,0.6861123092467425,9.91862589093614,1.0,[0.32 0.68],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.295,0.000241,3.1e-05,0.000288,272.48,3.39,True,0.83,0.000792,0.000101,0.00083,272.48,3.39,True,0.079,3.4e-05,4e-06,6.2e-05,272.48,3.39,True,500.87,0.351059,0.065646,0.399084,272.7,3.39,Cautious,low,True,0.059,3.6e-05,5e-06,5.3e-05,272.7,3.39,True,2.512,0.002514,0.0,0.002512,272.7,3.39,,2.9456610000124783,0.01175900069938507,,,,,,,,,,,,,,
10,2025-12-05T11:07:39.533552+00:00,2025-07-02T20:34:06.850952,0.0,950.0,45.0,80.0,-7.0,49.0,16.0,51.76,-5.8432127,-35.197634,0.14666233541412899,-0.37448377337754857,10.196745517504374,cautious,False,0.1034630004141945,etanol,1.0,103.15245300080278,0.0001110001903725,True,Rodovia,[0.38 0.62],205.6711289988016,0.0,0.0,128.9528005758765,12.89528005758765,A,28.5,573.75,68.6,,,,0.0,2.0744769632738613,0.5664710945313232,-1.730290923368699,10.204673786353865,1.0,[0.46 0.54],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,1.804,0.000444,0.0,0.000457,272.7,3.39,True,0.98,0.001049,0.0,0.000986,272.7,3.39,True,0.045,2.9e-05,0.0,3.9e-05,272.7,3.39,True,727.528,0.465338,0.064525,0.498692,272.75,3.39,Cautious,low,True,0.114,8.4e-05,1.1e-05,0.000107,272.75,3.39,True,7.543,0.007534,0.0,0.007524,272.75,3.39,,8.43346700003167,0.013870000657334458,,,,,,,,,,,,,,
