row_id,ts,timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp,_ts_float,maf,road_type,gyro_z_dps,gyro_x,gyro_y,gyro_z,accel_magnitude,city_highway_int,city_highway_prob,city_highway,maf_estimated,co2_emission,co2_emission_per_km,total_distance,total_consumption,consumption_count,average_consumption,heading,m.teda.run.ok,m.teda.run.wall_ms,m.teda.run.cpu_user_s,m.teda.run.cpu_sys_s,m.teda.run.thread_cpu_s,m.teda.run.rss_mb,m.teda.run.mem_pct,m.mmcloud.process_point.ok,m.mmcloud.process_point.wall_ms,m.mmcloud.process_point.cpu_user_s,m.mmcloud.process_point.cpu_sys_s,m.mmcloud.process_point.thread_cpu_s,m.mmcloud.process_point.rss_mb,m.mmcloud.process_point.mem_pct,m.rf.fuel_type.ok,m.rf.fuel_type.wall_ms,m.rf.fuel_type.cpu_user_s,m.rf.fuel_type.cpu_sys_s,m.rf.fuel_type.thread_cpu_s,m.rf.fuel_type.rss_mb,m.rf.fuel_type.mem_pct,m.rf.city_highway.ok,m.rf.city_highway.wall_ms,m.rf.city_highway.cpu_user_s,m.rf.city_highway.cpu_sys_s,m.rf.city_highway.thread_cpu_s,m.rf.city_highway.rss_mb,m.rf.city_highway.mem_pct,policy_behavior,policy_severity,m.agent.behavior.ok,m.agent.behavior.wall_ms,m.agent.behavior.cpu_user_s,m.agent.behavior.cpu_sys_s,m.agent.behavior.thread_cpu_s,m.agent.behavior.rss_mb,m.agent.behavior.mem_pct,m.agent.safety_gps.ok,m.agent.safety_gps.wall_ms,m.agent.safety_gps.cpu_user_s,m.agent.safety_gps.cpu_sys_s,m.agent.safety_gps.thread_cpu_s,m.agent.safety_gps.rss_mb,m.agent.safety_gps.mem_pct,heading_message,orch_run_ms,orch_llm_enqueue_ms,llm_message,llm_source,llm_latency,llm_total_tokens,llm_input_tokens,llm_output_tokens,llm_total_ms_client,llm_cpu_avg_pct,llm_cpu_max_pct,llm_rss_peak_mb,llm_proc_samples,llm_proc_pid,llm_metrics_source,llm_agent_inserted_behavior_prf
1,2025-12-05T13:06:28.977116+00:00,2025-07-02T17:46:13.559671,0.0,961.0,22.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25482475345210187,0.039337160694832396,10.143250007913533,normal,False,0.0271110000085172,gasolina,1.0,98.5299880000241,0.0001479999980347,False,Cidade,[0.81 0.19],616.3329820000172,0.0,0.0,3.0211857,3.0211857,A,28.5,105.71,57.6,,,,0.0,1.009941875995902,-4.785068085593307,2.2301383806189765,10.14652668602519,0.0,[0.79 0.21],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.026,1.6e-05,1e-06,2.3e-05,228.98,2.85,True,0.121,0.000112,8e-06,0.00012,228.98,2.85,True,0.006,5e-06,0.0,5e-06,228.98,2.85,True,163.727,0.104138,0.059547,0.163675,243.77,3.03,Cautious,low,True,0.025,2e-05,1e-06,2.4e-05,243.77,3.03,True,2.48,0.002279,0.000192,0.002469,243.77,3.03,,2.7500320011313306,0.027907999538001604,"Behavior: Cautious. PRF zone: none. Cautious driving is crucial for safety and fuel economy. It promotes responsible behavior, ensuring a safer journey.",model,,85,63,22,4012,122.83076923076926,178.3,627.703125,39,87139,server+client,True
2,2025-12-05T13:06:33.252315+00:00,2025-07-02T17:46:17.027402,0.0,961.0,22.0,63.0,0.0,0.0,17.0,69.8,-5.843196,-35.1975245,0.08258270397030687,0.18176572888481635,10.442412892391976,normal,False,0.1135369999758495,gasolina,1.0,50.838050999999496,0.000166999996054,False,Cidade,[0.84 0.16],168.1044780000036,0.0,0.0,3.0211857,1.51059285,A,28.5,292.71,57.1,,,,0.0,0.46507672748191364,1.454352191923606,1.890360159894028,10.44432121769463,0.0,[0.85 0.15],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.107,8.9e-05,8e-06,0.000103,244.3,3.04,True,0.22,0.000201,1.7e-05,0.000219,244.3,3.04,True,0.008,6e-06,1e-06,7e-06,244.3,3.04,True,353.212,0.255773,0.099506,0.351406,245.2,3.05,Cautious,low,True,0.061,4.9e-05,0.0,5.8e-05,245.2,3.05,True,11.596,0.011608,0.0,0.011597,245.2,3.05,,12.258146000021952,0.037204001273494214,,,,,,,,,,,,,,
3,2025-12-05T13:06:34.633719+00:00,2025-07-02T17:46:20.474007,0.0,961.0,22.0,63.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,-0.4548163805945017,-0.06442801098629747,9.675660424777165,cautious,False,0.0932030000058148,gasolina,1.0,43.98112300000889,0.0001479999980347,True,Cidade,[0.96 0.04],172.88108300002136,0.0,0.0,64.38792625388662,21.46264208462887,A,28.5,292.71,58.7,,,,0.0,3.0389497295520194,-2.705894833589162,-2.7603059314404943,9.686558396265196,0.0,[0.97 0.03],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.236,0.000158,1.7e-05,0.000225,245.2,3.05,True,0.28,0.000251,2.7e-05,0.000281,245.2,3.05,True,0.014,1e-05,1e-06,1.3e-05,245.2,3.05,True,351.672,0.213863,0.062785,0.272358,271.42,3.37,Cautious,low,True,0.05,3.7e-05,4e-06,4.7e-05,271.42,3.37,True,7.521,0.007443,0.0,0.007413,271.42,3.37,,8.266614999229205,0.8000349989742972,,,,,,,,,,,,,,
4,2025-12-05T13:06:36.167868+00:00,2025-07-02T17:46:24.492771,0.0,961.0,22.0,63.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,-0.3799722273802606,-0.46979658608554187,9.80410925658475,cautious,False,0.2827200000012908,gasolina,1.0,167.38916700001027,0.0001299999894399,True,Cidade,[0.93 0.07],458.02015600000345,0.0,0.0,64.38792625388662,16.096981563471655,A,28.5,292.71,65.3,,,,0.0,-0.14307409009121486,0.13463433423485682,3.5109390253423456,9.822710727743576,0.0,[0.97 0.03],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.429,0.000354,4.1e-05,0.000414,271.42,3.37,True,0.368,0.000353,4.2e-05,0.000363,271.42,3.37,True,0.035,2.7e-05,0.0,3e-05,271.42,3.37,True,506.395,0.316103,0.079499,0.387873,271.66,3.38,Cautious,low,True,0.053,4.2e-05,5e-06,5.1e-05,271.66,3.38,True,8.976,0.008385,0.0,0.008372,271.66,3.38,,9.694297999885748,0.06572200072696432,,,,,,,,,,,,,,
5,2025-12-05T13:06:37.828379+00:00,2025-07-02T17:46:27.898848,0.0,993.0,17.0,64.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,-0.20570010296109265,-0.3349118820572907,10.341888224043506,cautious,False,0.0987960000031762,gasolina,1.0,44.8251560000017,0.0001299999894399,True,Cidade,[1. 0.],160.08157600001027,0.0,0.0,62.3129880463092,12.46259760926184,A,28.5,228.905,60.4,,,,0.0,2.0497599831065028,-0.6344833575490538,4.101072467591429,10.349354112200004,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.164,0.000127,1.6e-05,0.000157,271.66,3.38,True,0.842,0.00076,9.6e-05,0.000848,271.66,3.38,True,1.5,5.7e-05,7e-06,0.000104,271.66,3.38,True,633.899,0.375701,0.07341,0.436465,271.86,3.38,Cautious,low,True,0.087,7.4e-05,0.0,8.2e-05,271.86,3.38,True,9.506,0.009402,0.0,0.009373,271.86,3.38,,10.603852000713232,0.03570400076569058,,,,,,,,,,,,,,
6,2025-12-05T13:06:39.468035+00:00,2025-07-02T17:46:31.317074,0.0,993.0,17.0,64.0,-10.5,39.0,16.0,69.8,-5.843196,-35.1975245,-0.463486256861942,0.3626265291334484,10.105396535973918,cautious,False,0.1977949999911743,gasolina,1.0,44.729951999983086,0.0001479999980347,True,Cidade,[1. 0.],163.75457499998447,0.0,0.0,62.3129880463092,10.3854980077182,A,28.5,220.405,60.4,,,,0.0,4.876318963497361,1.4013324155849158,-0.8091292789089968,10.122517308417159,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.164,0.000129,1.7e-05,0.000158,271.86,3.38,True,0.482,0.000387,5.1e-05,0.00044,271.86,3.38,True,0.021,1.3e-05,1e-06,1.8e-05,271.86,3.38,True,615.15,0.379475,0.095745,0.464765,271.84,3.38,Cautious,low,True,0.133,0.000109,0.0,0.000123,271.84,3.38,True,8.954,0.006867,0.000141,0.007003,271.84,3.38,,9.959112998330966,0.017315000150119886,,,,,,,,,,,,,,
7,2025-12-05T13:06:41.118858+00:00,2025-07-02T17:46:34.923924,0.0,993.0,17.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,-0.22791338679222684,0.33879886317506513,10.025235342754932,cautious,False,0.2231099999789876,gasolina,1.0,56.73074200001338,0.000166999996054,True,Cidade,[1. 0.],172.55015800000706,0.0,0.0,76.52472216213413,10.93210316601916,A,28.5,220.405,63.1,,,,0.0,-3.5341075506002873,-0.9278478137682242,2.994177060719986,10.033547371652283,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.184,0.000138,2e-05,0.000173,271.84,3.38,True,0.436,0.000435,0.0,0.000436,271.84,3.38,True,0.012,9e-06,0.0,1e-05,271.84,3.38,True,628.599,0.399746,0.091999,0.48004,271.98,3.38,Cautious,low,True,0.132,9.6e-05,1.4e-05,0.00012,271.98,3.38,True,10.517,0.010348,0.0,0.010348,271.98,3.38,,11.909460999959265,0.11103699944214895,Behavior: Cautious. PRF zone: none. Cautious driving is crucial for safety and fuel economy. It's a wise practice to maintain caution in all driving conditions.,model,,88,63,25,4605,121.96888888888894,177.1,627.703125,45,87139,server+client,True
8,2025-12-05T13:06:46.343804+00:00,2025-07-02T17:46:38.322568,0.0,993.0,17.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,0.20732472111353917,-0.4365789402266639,9.710215397654352,cautious,False,0.1747769999838055,gasolina,1.0,42.17105899999751,0.0002230000006875,True,Cidade,[0.99 0.01],167.47411099999,0.0,0.0,76.52472216213413,9.565590270266766,A,28.5,220.405,60.4,,,,0.0,-2.7034950646272513,-4.071506087591796,0.030166161614609166,9.72223573978115,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.121,8.3e-05,1.2e-05,0.000116,272.5,3.39,True,0.294,0.000257,3.8e-05,0.000295,272.5,3.39,True,0.015,9e-06,2e-06,1.2e-05,272.5,3.39,True,308.394,0.249842,0.062562,0.302708,272.69,3.39,Cautious,low,True,0.063,4.4e-05,6e-06,5.9e-05,272.69,3.39,True,14.517,0.014535,0.0,0.014522,272.69,3.39,,15.159548000156065,0.024499999199179,,,,,,,,,,,,,,
9,2025-12-05T13:06:47.911742+00:00,2025-07-02T17:46:41.727730,6.0,1327.0,39.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,-0.36191125567927207,0.1358080354394674,10.092290973056492,normal,True,0.1101659999847015,gasolina,1.0,48.11556499998915,0.0001299999894399,False,Cidade,[0.8 0.2],170.40161400001352,0.0,0.0016666666666666,2134.929467929132,237.21438532545912,A,28.5,658.575,60.9,,,,0.0,-0.9691063529267829,-1.057965216281369,-0.75834290618198,10.09969111727259,0.0,[0.79 0.21],City,False,0.0,0.0,0.0016666666666666668,0.0,1,0.0,N,True,0.438,0.000352,5.3e-05,0.000424,272.69,3.39,True,4.25,0.000687,0.0,0.00074,272.69,3.39,True,0.023,1.6e-05,0.0,2e-05,272.69,3.39,True,533.266,0.41838,0.059562,0.46199,272.62,3.39,Cautious,low,True,0.117,9.7e-05,1.5e-05,0.000115,272.62,3.39,True,9.155,0.006101,0.003015,0.008583,272.62,3.39,,11.140906999571598,0.034851998861995526,,,,,,,,,,,,,,
10,2025-12-05T13:06:49.636155+00:00,2025-07-02T17:46:45.547439,6.0,1327.0,39.0,65.0,-13.0,39.0,22.0,69.8,-5.8431958,-35.1975247,0.13773529880090118,-0.3222744121581286,9.728470032233492,normal,True,0.4046650000191221,gasolina,1.0,205.43609899999635,0.0001299999894399,False,Cidade,[0.76 0.24],198.43215399998823,0.0,0.0016666666666666,2134.929467929132,213.4929467929132,A,28.5,793.575,63.7,,,,0.0,-0.606018717447232,1.3793352697649564,-3.218201354603324,9.73478099277702,0.0,[0.78 0.22],City,False,0.0,0.0,0.0016666666666666668,0.0,1,0.0,N,True,0.341,0.000292,4.5e-05,0.000324,272.62,3.39,True,0.922,0.000852,0.0,0.000918,272.62,3.39,True,0.036,2.6e-05,0.0,3.2e-05,272.62,3.39,True,685.723,0.45268,0.074475,0.500512,273.11,3.39,Cautious,low,True,0.037,2.9e-05,0.0,3.3e-05,273.11,3.39,True,10.011,0.01001,0.0,0.009985,273.11,3.39,,10.978647998854285,0.030851999326841906,,,,,,,,,,,,,,
