row_id,ts,Unnamed: 0.1,Unnamed: 0,timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp,radar_area_original,has_acidente,has_multa,ground_truth,_ts_float,maf,road_type,gyro_z_dps,gyro_x,gyro_y,gyro_z,accel_magnitude,city_highway_int,city_highway_prob,city_highway,maf_estimated,co2_emission,co2_emission_per_km,total_distance,total_consumption,consumption_count,average_consumption,heading,m.teda.run.ok,m.teda.run.wall_ms,m.teda.run.cpu_user_s,m.teda.run.cpu_sys_s,m.teda.run.thread_cpu_s,m.teda.run.rss_mb,m.teda.run.mem_pct,m.mmcloud.process_point.ok,m.mmcloud.process_point.wall_ms,m.mmcloud.process_point.cpu_user_s,m.mmcloud.process_point.cpu_sys_s,m.mmcloud.process_point.thread_cpu_s,m.mmcloud.process_point.rss_mb,m.mmcloud.process_point.mem_pct,m.rf.fuel_type.ok,m.rf.fuel_type.wall_ms,m.rf.fuel_type.cpu_user_s,m.rf.fuel_type.cpu_sys_s,m.rf.fuel_type.thread_cpu_s,m.rf.fuel_type.rss_mb,m.rf.fuel_type.mem_pct,m.rf.city_highway.ok,m.rf.city_highway.wall_ms,m.rf.city_highway.cpu_user_s,m.rf.city_highway.cpu_sys_s,m.rf.city_highway.thread_cpu_s,m.rf.city_highway.rss_mb,m.rf.city_highway.mem_pct,policy_behavior,policy_severity,m.agent.behavior.ok,m.agent.behavior.wall_ms,m.agent.behavior.cpu_user_s,m.agent.behavior.cpu_sys_s,m.agent.behavior.thread_cpu_s,m.agent.behavior.rss_mb,m.agent.behavior.mem_pct,m.agent.safety_gps.ok,m.agent.safety_gps.wall_ms,m.agent.safety_gps.cpu_user_s,m.agent.safety_gps.cpu_sys_s,m.agent.safety_gps.thread_cpu_s,m.agent.safety_gps.rss_mb,m.agent.safety_gps.mem_pct,heading_message,orch_run_ms,orch_llm_enqueue_ms,llm_message,llm_source,llm_latency,llm_total_tokens,llm_input_tokens,llm_output_tokens,llm_total_ms_client,llm_cpu_avg_pct,llm_cpu_max_pct,llm_rss_peak_mb,llm_proc_samples,llm_proc_pid,llm_metrics_source,llm_agent_inserted_behavior_prf
1,2025-12-02T11:17:41.744821+00:00,0,0,2025-07-01T19:39:40.300056,0.0,871.0,32.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42056085817042477,0.2433790312579861,9.566362333046486,normal,False,0.0255000000208838,Gasoline,1.0,184.4432940000047,0.0001290000000153,False,Cidade,[0.62 0.38],631.5236760000005,0.0,0.0,3.0211857,3.0211857,A,28.5,139.36,59.3,139.36,False,False,nenhum,,,,0.0,-3.9606401942836875,-0.8796983100994087,2.0697106660405016,9.578694748002556,0.0,[0.65 0.35],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.025,1.4e-05,1e-06,2.1e-05,229.39,2.85,True,0.111,0.000104,5e-06,0.000111,229.39,2.85,True,0.006,5e-06,0.0,6e-06,229.39,2.85,True,152.019,0.111883,0.039985,0.15186,243.92,3.03,Cautious,low,True,0.023,1.9e-05,1e-06,2.2e-05,243.92,3.03,True,2.536,0.002526,0.0,0.002522,243.92,3.03,,2.838311999994403,0.050055999963660724,Cautious driving is good for safety and fuel economy. Behavior: Cautious. PRF Zone: none.,model,,96,72,24,1126,143.54166666666666,199.2,406.390625,12,3236,server+client,False
2,2025-12-02T11:17:45.803728+00:00,1,1,2025-07-01T19:39:43.658232,0.0,871.0,32.0,70.0,0.0,0.0,16.0,97.65,0.0,0.0,0.3000944773415898,-0.3910248445294088,10.401434121719983,normal,False,0.2081479999844759,Gasoline,1.0,50.42669999997429,0.0002040000026681,False,Rodovia,[0.2 0.8],130.82847100000097,0.0,0.0,3.0211857,1.51059285,A,28.5,395.36,58.2,395.36,False,False,nenhum,,,,0.0,-3.2333328736989952,-4.011944462626134,0.14595482053458753,10.413106592792131,1.0,[0.29 0.71],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.1,8.7e-05,6e-06,9.8e-05,244.92,3.04,True,0.168,0.000158,1e-05,0.000167,244.92,3.04,True,0.007,5e-06,0.0,6e-06,244.92,3.04,True,127.343,0.087917,0.039942,0.127037,246.12,3.06,Cautious,low,True,0.037,3.2e-05,2e-06,3.5e-05,246.12,3.06,True,3.719,0.003724,0.0,0.00372,246.12,3.06,,4.017532999910145,0.01001800001176889,,,,,,,,,,,,,,
3,2025-12-02T11:17:47.457365+00:00,2,2,2025-07-01T19:39:47.017887,0.0,871.0,32.0,70.0,-1.0,0.0,16.0,97.65,0.0,0.0,-0.17230211269929474,0.18783676248440617,10.243716291989962,cautious,False,0.0871299999971597,Gasoline,1.0,34.06558000000359,0.0001300000178616,True,Rodovia,[0.22 0.78],115.9289769999816,0.0,0.0,77.70653596347273,25.90217865449091,A,28.5,395.36,58.7,395.36,False,False,nenhum,,,,0.0,4.8940482304348425,-1.7532089798371562,-0.8443119246016799,10.246887046228325,1.0,[0.28 0.72],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.066,6e-05,0.0,6.4e-05,246.12,3.06,True,0.111,0.00011,0.0,0.000111,246.12,3.06,True,0.005,5e-06,0.0,5e-06,246.12,3.06,True,129.435,0.086069,0.043327,0.129384,246.23,3.06,Cautious,low,True,0.037,3.1e-05,2e-06,3.5e-05,246.23,3.06,True,3.35,0.003352,0.0,0.003351,246.23,3.06,,3.6184780000212413,0.011925999956474698,,,,,,,,,,,,,,
4,2025-12-02T11:17:48.588478+00:00,3,3,2025-07-01T19:39:50.511029,0.0,871.0,32.0,70.0,-1.0,0.0,16.0,97.65,0.0,0.0,0.1739936108325465,-0.0837679892803419,9.870125759167419,cautious,False,0.1895380000007662,Gasoline,1.0,80.31248500000743,0.0001300000178616,True,Rodovia,[0.19 0.81],135.18794300000536,0.0,0.0,77.70653596347273,19.426633990868183,A,28.5,395.36,67.0,395.36,False,False,nenhum,,,,0.0,4.453802990839286,-3.7290403765658606,-0.984147119660844,9.872014655298017,1.0,[0.18 0.82],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.063,0.0,5.6e-05,6.1e-05,246.23,3.06,True,0.106,0.0,0.000106,0.000106,246.23,3.06,True,0.006,0.0,5e-06,6e-06,246.23,3.06,True,121.424,0.084223,0.037211,0.121428,246.23,3.06,Cautious,low,True,0.022,1.9e-05,2e-06,2.1e-05,246.23,3.06,True,2.081,0.001911,0.000177,0.002084,246.23,3.06,,2.321718999951372,0.013130000070304959,,,,,,,,,,,,,,
5,2025-12-02T11:17:49.720274+00:00,4,4,2025-07-01T19:39:53.897758,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,-0.44372807012336946,-0.07202774295724912,9.82278400215116,cautious,False,0.0977600000169331,Gasoline,1.0,41.811665000011544,0.0001850000046488,True,Rodovia,[0.19 0.81],120.04245700001093,0.0,0.0,77.70653596347273,15.541307192694546,A,28.5,395.36,60.4,395.36,False,False,nenhum,,,,0.0,0.7478835162893169,3.813265456924878,1.9070778601100695,9.83306504345861,1.0,[0.19 0.81],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.068,6.1e-05,0.0,6.6e-05,246.23,3.06,True,0.118,0.000119,0.0,0.000118,246.23,3.06,True,0.006,6e-06,0.0,6e-06,246.23,3.06,True,121.939,0.066441,0.05549,0.121925,246.23,3.06,Cautious,low,True,0.021,1.7e-05,2e-06,2e-05,246.23,3.06,True,1.9,0.001724,0.000182,0.001903,246.23,3.06,,2.14740499995969,0.014851999935672211,,,,,,,,,,,,,,
6,2025-12-02T11:17:50.869248+00:00,5,5,2025-07-01T19:39:57.243562,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,0.24258547649896822,0.0741512675314091,10.261017377726011,cautious,False,0.0893700000119679,Gasoline,1.0,34.3761360000201,0.0001479999980347,True,Rodovia,[0.19 0.81],116.37247999999543,0.0,0.0,77.70653596347273,12.951089327245455,A,28.5,395.36,58.2,395.36,False,False,nenhum,,,,0.0,-1.7166274641450432,-1.219985983919083,-3.8244489372473254,10.264152363925621,1.0,[0.28 0.72],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.081,7.3e-05,0.0,7.9e-05,246.23,3.06,True,0.137,0.000137,0.0,0.000137,246.23,3.06,True,0.008,7e-06,0.0,8e-06,246.23,3.06,True,140.171,0.084324,0.055605,0.139923,246.23,3.06,Cautious,low,True,0.023,1.8e-05,2e-06,2.2e-05,246.23,3.06,True,3.698,0.003706,0.0,0.003701,246.23,3.06,,4.0112369999860675,0.020445000018298742,,,,,,,,,,,,,,
7,2025-12-02T11:17:52.001406+00:00,6,6,2025-07-01T19:40:00.745214,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,0.0037248939463674358,0.037679691897817835,9.932971817362628,cautious,False,0.0873150000018085,Gasoline,1.0,33.73785600001611,0.0001479999980347,True,Rodovia,[0.22 0.78],115.27660400000173,0.0,0.0,77.70653596347273,11.100933709067531,A,28.5,395.36,60.9,395.36,False,False,nenhum,,,,0.0,0.7651647252865512,-2.850960645341626,1.302657181012993,9.933043982512945,1.0,[0.22 0.78],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.068,5.4e-05,6e-06,6.5e-05,246.23,3.06,True,0.105,9.4e-05,1.1e-05,0.000105,246.23,3.06,True,0.006,4e-06,1e-06,5e-06,246.23,3.06,True,122.307,0.082406,0.039695,0.122094,246.23,3.06,Cautious,low,True,0.022,1.8e-05,3e-06,2.1e-05,246.23,3.06,True,1.871,0.001874,0.0,0.001873,246.23,3.06,,2.0751090000885597,0.013630000012199162,,,,,,,,,,,,,,
8,2025-12-02T11:17:53.134242+00:00,7,7,2025-07-01T19:40:04.103013,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,-0.03570401603465745,0.05809618765095592,9.851895746823592,cautious,False,0.2019079999797668,Gasoline,1.0,45.13012299997854,0.0002399999914359,True,Rodovia,[0.19 0.81],129.65538399998877,0.0,0.0,77.70653596347273,9.713316995434091,A,28.5,395.36,57.6,395.36,False,False,nenhum,,,,0.0,-4.368866113946936,-1.5389611122533333,-3.624859744665798,9.852131736333074,1.0,[0.18 0.82],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.072,5.7e-05,8e-06,6.8e-05,246.23,3.06,True,0.114,0.000101,1.2e-05,0.000114,246.23,3.06,True,0.007,6e-06,1e-06,7e-06,246.23,3.06,True,123.034,0.079251,0.043778,0.123022,246.23,3.06,Cautious,low,True,0.03,2.1e-05,3e-06,2.8e-05,246.23,3.06,True,1.917,0.001921,0.0,0.001918,246.23,3.06,,2.18497900004877,0.014888999999129737,,,,,,,,,,,,,,
9,2025-12-02T11:17:54.266298+00:00,8,8,2025-07-01T19:40:07.448968,0.0,840.0,33.0,72.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,0.09389788760157136,-0.39295949391646934,10.258807715489043,cautious,False,0.1035380000189434,Gasoline,1.0,34.74487899998735,0.0001299999894399,True,Cidade,[0.7 0.3],115.48303200001442,0.0,0.0,80.57427717164852,8.952697463516502,A,28.5,402.6,59.3,402.6,False,False,nenhum,,,,0.0,-1.12883779054234,1.4672586083131893,1.9269677456879641,10.266760429684362,0.0,[0.81 0.19],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.07,5.6e-05,8e-06,6.7e-05,246.23,3.06,True,0.109,9.6e-05,1.3e-05,0.000109,246.23,3.06,True,0.005,4e-06,1e-06,5e-06,246.23,3.06,True,122.579,0.062927,0.059666,0.122566,246.23,3.06,Cautious,low,True,0.03,2.2e-05,3e-06,2.7e-05,246.23,3.06,True,2.248,0.002255,0.0,0.00225,246.23,3.06,,2.543663999972523,0.037517999999181484,Cautious driving is good for safety and fuel economy. Behavior: Cautious. PRF Zone: none.,model,,96,72,24,1123,142.64166666666665,199.1,406.390625,12,3236,server+client,False
10,2025-12-02T11:17:58.266382+00:00,9,9,2025-07-01T19:40:10.944583,0.0,840.0,33.0,72.0,-1.0,0.0,17.0,97.65,-5.8431992,-35.1977246,0.06176230370266422,-0.16574403869353083,10.28664821232044,cautious,False,0.0826300000085211,Gasoline,1.0,33.726985000015475,0.0001110000198423,True,Cidade,[0.71 0.29],114.43195300000752,0.0,0.0,80.57427717164852,8.057427717164853,A,28.5,419.1,60.4,419.1,False,False,nenhum,,,,0.0,3.8794579656716746,4.180135390938421,1.6657073009716452,10.28816879296585,0.0,[0.79 0.21],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.088,7.7e-05,0.0,8.4e-05,246.23,3.06,True,0.125,0.000124,0.0,0.000125,246.23,3.06,True,0.006,6e-06,0.0,6e-06,246.23,3.06,True,133.088,0.082037,0.051478,0.132912,246.41,3.06,Cautious,low,True,0.026,1.8e-05,3e-06,2.4e-05,246.41,3.06,True,3.456,0.003463,0.0,0.003458,246.41,3.06,,3.707626000050368,0.009239999940291455,,,,,,,,,,,,,,
