row_id,ts,timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp,_ts_float,maf,road_type,gyro_z_dps,gyro_x,gyro_y,gyro_z,accel_magnitude,city_highway_int,city_highway_prob,city_highway,maf_estimated,co2_emission,co2_emission_per_km,total_distance,total_consumption,consumption_count,average_consumption,heading,m.teda.run.ok,m.teda.run.wall_ms,m.teda.run.cpu_user_s,m.teda.run.cpu_sys_s,m.teda.run.thread_cpu_s,m.teda.run.rss_mb,m.teda.run.mem_pct,m.mmcloud.process_point.ok,m.mmcloud.process_point.wall_ms,m.mmcloud.process_point.cpu_user_s,m.mmcloud.process_point.cpu_sys_s,m.mmcloud.process_point.thread_cpu_s,m.mmcloud.process_point.rss_mb,m.mmcloud.process_point.mem_pct,m.rf.fuel_type.ok,m.rf.fuel_type.wall_ms,m.rf.fuel_type.cpu_user_s,m.rf.fuel_type.cpu_sys_s,m.rf.fuel_type.thread_cpu_s,m.rf.fuel_type.rss_mb,m.rf.fuel_type.mem_pct,m.rf.city_highway.ok,m.rf.city_highway.wall_ms,m.rf.city_highway.cpu_user_s,m.rf.city_highway.cpu_sys_s,m.rf.city_highway.thread_cpu_s,m.rf.city_highway.rss_mb,m.rf.city_highway.mem_pct,policy_behavior,policy_severity,m.agent.behavior.ok,m.agent.behavior.wall_ms,m.agent.behavior.cpu_user_s,m.agent.behavior.cpu_sys_s,m.agent.behavior.thread_cpu_s,m.agent.behavior.rss_mb,m.agent.behavior.mem_pct,m.agent.safety_gps.ok,m.agent.safety_gps.wall_ms,m.agent.safety_gps.cpu_user_s,m.agent.safety_gps.cpu_sys_s,m.agent.safety_gps.thread_cpu_s,m.agent.safety_gps.rss_mb,m.agent.safety_gps.mem_pct,heading_message,orch_run_ms,orch_llm_enqueue_ms,llm_message,llm_source,llm_latency,llm_total_tokens,llm_input_tokens,llm_output_tokens,llm_total_ms_client,llm_cpu_avg_pct,llm_cpu_max_pct,llm_rss_peak_mb,llm_proc_samples,llm_proc_pid,llm_metrics_source,llm_agent_inserted_behavior_prf
1,2025-12-04T19:10:43.579770+00:00,2025-07-02T17:46:13.559671,0.0,961.0,22.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17626404767853787,0.03368064883897526,10.374715246063912,normal,False,0.0271110000085172,gasolina,1.0,98.5299880000241,0.0001479999980347,False,Cidade,[0.81 0.19],616.3329820000172,0.0,0.0,3.0211857,3.0211857,A,28.5,105.71,57.6,,,,0.0,4.243701213426828,0.17326341051787075,0.0355233363810914,10.376267143704485,0.0,[0.8 0.2],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.042,2.3e-05,2e-06,3.6e-05,226.77,2.82,True,0.214,0.000196,1.6e-05,0.000213,226.77,2.82,True,0.01,8e-06,0.0,9e-06,226.77,2.82,True,783.021,0.099028,0.074716,0.173735,241.41,3.0,Cautious,low,True,0.022,1.8e-05,1e-06,2.1e-05,241.41,3.0,True,2.375,0.002363,0.0,0.002362,241.41,3.0,,2.6164869999973916,0.02798200000597717,Cautious driving is good for safety and fuel economy. Behavior: Cautious. PRF Zone: none.,model,,96,72,24,5514,163.69259259259263,314.6,405.15625,54,2537,server+client,False
2,2025-12-04T19:10:47.701141+00:00,2025-07-02T17:46:17.027402,0.0,961.0,22.0,63.0,0.0,0.0,17.0,69.8,-5.843196,-35.1975245,0.45124502162792157,0.22167895149855887,9.629043681593876,normal,False,0.1135369999758495,gasolina,1.0,50.838050999999496,0.000166999996054,False,Cidade,[0.84 0.16],168.1044780000036,0.0,0.0,3.0211857,1.51059285,A,28.5,292.71,57.1,,,,0.0,-2.8311796376403517,-0.20986571558485956,4.797881411635123,9.642159812465485,0.0,[0.89 0.11],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.346,0.000273,2.7e-05,0.000326,242.44,3.01,True,0.544,0.000496,4.8e-05,0.000543,242.44,3.01,True,0.011,7e-06,1e-06,1e-05,242.44,3.01,True,216.456,0.14147,0.071547,0.209063,243.62,3.03,Cautious,low,True,0.046,3.5e-05,4e-06,4.3e-05,243.62,3.03,True,5.605,0.005461,0.000161,0.00561,243.62,3.03,,6.079415000016297,0.018296999996891827,,,,,,,,,,,,,,
3,2025-12-04T19:10:49.227688+00:00,2025-07-02T17:46:20.474007,0.0,961.0,22.0,63.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,0.2107387030976089,-0.21949267119154825,10.021938902606937,cautious,False,0.0932030000058148,gasolina,1.0,43.98112300000889,0.0001479999980347,True,Cidade,[0.96 0.04],172.88108300002136,0.0,0.0,64.38792625388662,21.46264208462887,A,28.5,292.71,58.7,,,,0.0,1.7538840393292148,-0.2220203961644014,-0.022758952691659395,10.026557096096168,0.0,[0.94 0.06],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.197,0.000159,1.8e-05,0.000191,243.62,3.03,True,0.335,0.0003,3.3e-05,0.000334,243.62,3.03,True,0.017,1.2e-05,1e-06,1.5e-05,243.62,3.03,True,501.308,0.237812,0.065447,0.298314,270.11,3.36,Cautious,low,True,0.037,2.9e-05,4e-06,3.5e-05,270.11,3.36,True,10.473,0.006981,0.0,0.006292,270.11,3.36,,11.270889999991596,0.025480999994442755,,,,,,,,,,,,,,
4,2025-12-04T19:10:50.874036+00:00,2025-07-02T17:46:24.492771,0.0,961.0,22.0,63.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,0.4670320513334467,-0.2238023909900323,10.07685231342709,cautious,False,0.2827200000012908,gasolina,1.0,167.38916700001027,0.0001299999894399,True,Cidade,[0.93 0.07],458.02015600000345,0.0,0.0,64.38792625388662,16.096981563471655,A,28.5,292.71,65.3,,,,0.0,-3.2167266914759396,0.808092881548184,2.812557245325813,10.090151584282887,0.0,[0.93 0.07],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.094,7.2e-05,8e-06,9.1e-05,270.11,3.36,True,0.175,0.000156,1.9e-05,0.000175,270.11,3.36,True,0.01,7e-06,0.0,9e-06,270.11,3.36,True,623.947,0.399019,0.062318,0.448943,270.14,3.36,Cautious,low,True,0.069,5.3e-05,6e-06,6.4e-05,270.14,3.36,True,18.207,0.014575,0.0,0.014574,270.14,3.36,,24.165140999997448,0.09081400000354733,,,,,,,,,,,,,,
5,2025-12-04T19:10:52.673687+00:00,2025-07-02T17:46:27.898848,0.0,993.0,17.0,64.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,0.49487310640275006,-0.12448517025245531,9.718599462962423,cautious,False,0.0987960000031762,gasolina,1.0,44.8251560000017,0.0001299999894399,True,Cidade,[1. 0.],160.08157600001027,0.0,0.0,62.3129880463092,12.46259760926184,A,28.5,228.905,60.4,,,,0.0,-3.122980336188814,-4.289738818214116,3.5693074848700146,9.731987025810659,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.391,0.000332,4.2e-05,0.000384,270.64,3.36,True,1.474,0.0,0.00154,0.001475,270.64,3.36,True,0.039,2.5e-05,4e-06,3.4e-05,270.64,3.36,True,747.086,0.493414,0.066119,0.548693,270.45,3.36,Cautious,low,True,0.094,6.9e-05,8e-06,9.1e-05,270.45,3.36,True,18.613,0.012778,0.0,0.012762,270.45,3.36,,19.8680879999813,0.055389000010563905,,,,,,,,,,,,,,
6,2025-12-04T19:10:53.977867+00:00,2025-07-02T17:46:31.317074,0.0,993.0,17.0,64.0,-10.5,39.0,16.0,69.8,-5.843196,-35.1975245,-0.3660335632421954,-0.2914971111599859,10.19737586905535,cautious,False,0.1977949999911743,gasolina,1.0,44.729951999983086,0.0001479999980347,True,Cidade,[1. 0.],163.75457499998447,0.0,0.0,62.3129880463092,10.3854980077182,A,28.5,220.405,60.4,,,,0.0,2.988792801154264,2.7861624128742957,-2.7221349520827918,10.208105884542281,0.0,[0.98 0.02],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.153,0.00012,1.5e-05,0.000145,270.45,3.36,True,0.297,0.000264,3.4e-05,0.000297,270.45,3.36,True,0.01,7e-06,1e-06,9e-06,270.45,3.36,True,269.518,0.229219,0.036107,0.265296,270.56,3.36,Cautious,low,True,0.065,4.5e-05,6e-06,5.4e-05,270.56,3.36,True,4.069,0.004075,1.3e-05,0.004076,270.56,3.36,,4.680884000009655,0.024776999993036952,,,,,,,,,,,,,,
7,2025-12-04T19:10:55.302091+00:00,2025-07-02T17:46:34.923924,0.0,993.0,17.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,-0.4153681864068284,0.09847426202624099,10.000581367489358,cautious,False,0.2231099999789876,gasolina,1.0,56.73074200001338,0.000166999996054,True,Cidade,[1. 0.],172.55015800000706,0.0,0.0,76.52472216213413,10.93210316601916,A,28.5,220.405,63.1,,,,0.0,-0.24491486426084652,0.9857674966164502,-1.1221008325518689,10.00968808696534,0.0,[0.98 0.02],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.137,0.000106,1.4e-05,0.000131,270.56,3.36,True,0.296,0.000262,3.3e-05,0.000296,270.56,3.36,True,0.013,0.0,1.2e-05,1.3e-05,270.56,3.36,True,308.956,0.248362,0.055598,0.303952,270.73,3.36,Cautious,low,True,0.039,3e-05,4e-06,3.7e-05,270.73,3.36,True,9.871,0.009661,0.000228,0.009878,270.73,3.36,,10.682466000019986,0.022185000005947586,,,,,,,,,,,,,,
8,2025-12-04T19:10:56.595912+00:00,2025-07-02T17:46:38.322568,0.0,993.0,17.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,0.11602871895584965,0.2043827491357294,9.896783356600713,cautious,False,0.1747769999838055,gasolina,1.0,42.17105899999751,0.0002230000006875,True,Cidade,[0.99 0.01],167.47411099999,0.0,0.0,76.52472216213413,9.565590270266766,A,28.5,220.405,60.4,,,,0.0,4.831432524967736,-1.0551221643512787,2.1947741586291905,9.899573515018497,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.137,0.000106,1.5e-05,0.00013,270.73,3.36,True,0.361,0.000267,3.6e-05,0.000302,270.73,3.36,True,0.014,0.0,1.2e-05,1.3e-05,270.73,3.36,True,270.835,0.228329,0.039132,0.267449,270.86,3.37,Cautious,low,True,0.042,3.4e-05,5e-06,4e-05,270.86,3.37,True,6.564,0.006353,0.0,0.006326,270.86,3.37,,7.2983529999817165,0.18179599999257334,Cautious driving is good for safety and fuel economy. Behavior: Cautious. PRF Zone: none.,model,,96,72,24,3301,118.4181818181818,187.1,405.65625,33,2537,server+client,False
9,2025-12-04T19:11:00.893342+00:00,2025-07-02T17:46:41.727730,6.0,1327.0,39.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,-0.44837509332867276,-0.09990648597913443,9.7396495210299,normal,True,0.1101659999847015,gasolina,1.0,48.11556499998915,0.0001299999894399,False,Cidade,[0.8 0.2],170.40161400001352,0.0,0.0016666666666666,2134.929467929132,237.21438532545912,A,28.5,658.575,60.9,,,,0.0,2.2171387674451637,2.5765711778411244,-3.176703837502762,9.750476620286628,0.0,[0.79 0.21],City,False,0.0,0.0,0.0016666666666666668,0.0,1,0.0,N,True,0.077,6e-05,8e-06,7.4e-05,270.86,3.37,True,0.134,0.000118,1.6e-05,0.000134,270.86,3.37,True,0.005,3e-06,1e-06,5e-06,270.86,3.37,True,281.432,0.241383,0.035635,0.274603,270.98,3.37,Cautious,low,True,0.019,1.4e-05,2e-06,1.8e-05,270.98,3.37,True,12.572,0.012306,4.8e-05,0.012344,270.98,3.37,,12.985084000007419,0.012889000004179252,,,,,,,,,,,,,,
10,2025-12-04T19:11:02.470201+00:00,2025-07-02T17:46:45.547439,6.0,1327.0,39.0,65.0,-13.0,39.0,22.0,69.8,-5.8431958,-35.1975247,-0.15527444759721387,0.3589372471222315,10.267475826409408,normal,True,0.4046650000191221,gasolina,1.0,205.43609899999635,0.0001299999894399,False,Cidade,[0.76 0.24],198.43215399998823,0.0,0.0016666666666666,2134.929467929132,213.4929467929132,A,28.5,793.575,63.7,,,,0.0,2.5323082126257344,3.375780250314854,-4.94619694890604,10.274921213680903,0.0,[0.76 0.24],City,False,0.0,0.0,0.0016666666666666668,0.0,1,0.0,N,True,0.856,0.000366,4.9e-05,0.000454,270.98,3.37,True,2.249,0.000821,0.00011,0.000938,270.98,3.37,True,0.037,1.9e-05,2e-06,3.1e-05,270.98,3.37,True,546.361,0.362637,0.091153,0.444324,271.02,3.37,Cautious,low,True,0.018,1.3e-05,2e-06,1.7e-05,271.02,3.37,True,2.34,0.002332,0.0,0.002327,271.02,3.37,,2.8889860000163026,0.015389000026289068,,,,,,,,,,,,,,
