row_id,ts,Unnamed: 0.1,Unnamed: 0,timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp,radar_area_original,has_acidente,has_multa,ground_truth,_ts_float,maf,road_type,gyro_z_dps,gyro_x,gyro_y,gyro_z,accel_magnitude,city_highway_int,city_highway_prob,city_highway,maf_estimated,co2_emission,co2_emission_per_km,total_distance,total_consumption,consumption_count,average_consumption,heading,m.teda.run.ok,m.teda.run.wall_ms,m.teda.run.cpu_user_s,m.teda.run.cpu_sys_s,m.teda.run.thread_cpu_s,m.teda.run.rss_mb,m.teda.run.mem_pct,m.mmcloud.process_point.ok,m.mmcloud.process_point.wall_ms,m.mmcloud.process_point.cpu_user_s,m.mmcloud.process_point.cpu_sys_s,m.mmcloud.process_point.thread_cpu_s,m.mmcloud.process_point.rss_mb,m.mmcloud.process_point.mem_pct,m.rf.fuel_type.ok,m.rf.fuel_type.wall_ms,m.rf.fuel_type.cpu_user_s,m.rf.fuel_type.cpu_sys_s,m.rf.fuel_type.thread_cpu_s,m.rf.fuel_type.rss_mb,m.rf.fuel_type.mem_pct,m.rf.city_highway.ok,m.rf.city_highway.wall_ms,m.rf.city_highway.cpu_user_s,m.rf.city_highway.cpu_sys_s,m.rf.city_highway.thread_cpu_s,m.rf.city_highway.rss_mb,m.rf.city_highway.mem_pct,policy_behavior,policy_severity,m.agent.behavior.ok,m.agent.behavior.wall_ms,m.agent.behavior.cpu_user_s,m.agent.behavior.cpu_sys_s,m.agent.behavior.thread_cpu_s,m.agent.behavior.rss_mb,m.agent.behavior.mem_pct,m.agent.safety_gps.ok,m.agent.safety_gps.wall_ms,m.agent.safety_gps.cpu_user_s,m.agent.safety_gps.cpu_sys_s,m.agent.safety_gps.thread_cpu_s,m.agent.safety_gps.rss_mb,m.agent.safety_gps.mem_pct,heading_message,orch_run_ms,orch_llm_enqueue_ms,llm_message,llm_source,llm_latency,llm_total_tokens,llm_input_tokens,llm_output_tokens,llm_total_ms_client,llm_cpu_avg_pct,llm_cpu_max_pct,llm_rss_peak_mb,llm_proc_samples,llm_proc_pid,llm_metrics_source,llm_agent_inserted_behavior_prf
1,2025-11-29T21:41:53.297307+00:00,0,0,2025-07-01T19:39:40.300056,0.0,871.0,32.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32582929791755777,-0.3208373582301117,10.212833703917003,normal,False,0.0255000000208838,Gasoline,1.0,184.4432940000047,0.0001290000000153,False,Cidade,[0.62 0.38],631.5236760000005,0.0,0.0,3.0211857,3.0211857,A,28.5,139.36,59.3,139.36,False,False,nenhum,,,,0.0,-3.116567607173301,0.6006954872726826,-3.0021900162525075,10.223065763540827,0.0,[0.68 0.32],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.028,1.7e-05,1e-06,2.4e-05,228.72,2.84,True,0.147,0.00014,9e-06,0.000148,228.72,2.84,True,0.007,5e-06,0.0,6e-06,228.72,2.84,True,220.037,0.162993,0.055743,0.218725,243.25,3.02,Cautious,low,True,0.024,2e-05,1e-06,2.2e-05,243.25,3.02,True,2.371,0.002356,0.0,0.002353,243.25,3.02,,2.6060700001835357,0.025408000510651618,Behavior: Cautious. PRF zone: none. Cautious driving is crucial for safety and fuel economy.,model,,85,73,12,3299,212.9030303030303,315.9,630.703125,33,42051,server+client,True
2,2025-11-29T21:41:54.600530+00:00,1,1,2025-07-01T19:39:43.658232,0.0,871.0,32.0,70.0,0.0,0.0,16.0,97.65,0.0,0.0,-0.1740015832945948,-0.40364969684815866,9.979717863099664,normal,False,0.2081479999844759,Gasoline,1.0,50.42669999997429,0.0002040000026681,False,Rodovia,[0.2 0.8],130.82847100000097,0.0,0.0,3.0211857,1.51059285,A,28.5,395.36,58.2,395.36,False,False,nenhum,,,,0.0,0.4473102074173907,2.8346818543287498,1.8923892447226471,9.98939328767394,1.0,[0.24 0.76],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.12,0.0001,7e-06,0.000113,243.25,3.02,True,0.216,0.000203,1.4e-05,0.000217,243.25,3.02,True,0.009,6e-06,0.0,8e-06,243.25,3.02,True,290.329,0.16457,0.055695,0.218704,244.31,3.04,Cautious,low,True,0.037,2.9e-05,2e-06,3.5e-05,244.31,3.04,True,3.133,0.003141,0.0,0.003136,244.31,3.04,,3.597252998588374,0.06462999954237603,,,,,,,,,,,,,,
3,2025-11-29T21:41:56.064958+00:00,2,2,2025-07-01T19:39:47.017887,0.0,871.0,32.0,70.0,-1.0,0.0,16.0,97.65,0.0,0.0,0.1926995600562197,-0.21452295573360491,9.607734841009371,cautious,False,0.0871299999971597,Gasoline,1.0,34.06558000000359,0.0001300000178616,True,Rodovia,[0.22 0.78],115.9289769999816,0.0,0.0,77.70653596347273,25.90217865449091,A,28.5,395.36,58.7,395.36,False,False,nenhum,,,,0.0,-2.687771699393129,4.983914651433626,-3.2638427350861896,9.612061277068927,1.0,[0.22 0.78],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.103,9e-05,0.0,9.7e-05,244.31,3.04,True,0.143,0.000142,0.0,0.000143,244.31,3.04,True,0.007,6e-06,0.0,7e-06,244.31,3.04,True,447.669,0.28195,0.077799,0.355048,333.81,4.15,Cautious,low,True,0.044,3.5e-05,3e-06,4.1e-05,333.81,4.15,True,8.528,0.007852,0.0,0.007844,333.81,4.15,,9.059096002602018,0.055519001762149855,,,,,,,,,,,,,,
4,2025-11-29T21:41:57.248418+00:00,3,3,2025-07-01T19:39:50.511029,0.0,871.0,32.0,70.0,-1.0,0.0,16.0,97.65,0.0,0.0,0.2745673857994678,0.39471317158963004,9.718330284196105,cautious,False,0.1895380000007662,Gasoline,1.0,80.31248500000743,0.0001300000178616,True,Rodovia,[0.19 0.81],135.18794300000536,0.0,0.0,77.70653596347273,19.426633990868183,A,28.5,395.36,67.0,395.36,False,False,nenhum,,,,0.0,-0.8035291172587904,-2.465859866030576,-2.9178546356196113,9.730217327988838,1.0,[0.19 0.81],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.095,7.8e-05,7e-06,9.2e-05,333.81,4.15,True,0.252,0.000233,2.1e-05,0.000254,333.81,4.15,True,0.012,9e-06,0.0,1e-05,333.81,4.15,True,165.316,0.148707,0.0157,0.1644,333.81,4.15,Cautious,low,True,0.022,1.8e-05,2e-06,2.1e-05,333.81,4.15,True,1.814,0.001665,0.000153,0.001815,333.81,4.15,,2.0321070005593356,0.012296000932110474,,,,,,,,,,,,,,
5,2025-11-29T21:41:58.416155+00:00,4,4,2025-07-01T19:39:53.897758,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,-0.08082242901437564,-0.4308371101777828,10.255920813569476,cautious,False,0.0977600000169331,Gasoline,1.0,41.811665000011544,0.0001850000046488,True,Rodovia,[0.19 0.81],120.04245700001093,0.0,0.0,77.70653596347273,15.541307192694546,A,28.5,395.36,60.4,395.36,False,False,nenhum,,,,0.0,-3.9815235407833995,-2.461632294863775,-4.163310723588662,10.265284439056996,1.0,[0.28 0.72],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.201,0.000163,0.0,0.000187,333.81,4.15,True,0.187,0.000181,0.0,0.000185,333.81,4.15,True,0.007,6e-06,0.0,7e-06,333.81,4.15,True,157.075,0.141495,0.015535,0.157017,333.81,4.15,Cautious,low,True,0.053,4.1e-05,3e-06,4.9e-05,333.81,4.15,True,4.805,0.004739,7.3e-05,0.004807,333.81,4.15,,5.248918001598213,0.015574001736240461,,,,,,,,,,,,,,
6,2025-11-29T21:41:59.578975+00:00,5,5,2025-07-01T19:39:57.243562,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,-0.35809597652054426,-0.004408587364142069,10.291742093764435,cautious,False,0.0893700000119679,Gasoline,1.0,34.3761360000201,0.0001479999980347,True,Rodovia,[0.19 0.81],116.37247999999543,0.0,0.0,77.70653596347273,12.951089327245455,A,28.5,395.36,58.2,395.36,False,False,nenhum,,,,0.0,1.1249851026491688,4.143137609697339,-3.6780556559456103,10.297971037471678,1.0,[0.29 0.71],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.073,6.5e-05,0.0,7e-05,333.81,4.15,True,0.128,0.000128,0.0,0.000128,333.81,4.15,True,0.007,6e-06,0.0,7e-06,333.81,4.15,True,151.892,0.131409,0.019542,0.150923,333.81,4.15,Cautious,low,True,0.031,0.0,2.4e-05,2.8e-05,333.81,4.15,True,4.105,0.001039,0.003074,0.004107,333.81,4.15,,4.442917997948825,0.01772299947333522,,,,,,,,,,,,,,
7,2025-11-29T21:42:00.763674+00:00,6,6,2025-07-01T19:40:00.745214,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,-0.06079042715052607,0.47362516111976194,9.769858009420535,cautious,False,0.0873150000018085,Gasoline,1.0,33.73785600001611,0.0001479999980347,True,Rodovia,[0.22 0.78],115.27660400000173,0.0,0.0,77.70653596347273,11.100933709067531,A,28.5,395.36,60.9,395.36,False,False,nenhum,,,,0.0,0.8604537748524601,4.0773666950969485,4.122874256740971,9.781520423406446,1.0,[0.19 0.81],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.084,6.9e-05,6e-06,8.1e-05,333.81,4.15,True,0.141,0.000128,1.2e-05,0.00014,333.81,4.15,True,0.008,6e-06,1e-06,7e-06,333.81,4.15,True,173.169,0.137288,0.035474,0.172757,333.81,4.15,Cautious,low,True,0.019,1.6e-05,1e-06,1.8e-05,333.81,4.15,True,3.412,0.003421,0.0,0.003415,333.81,4.15,,3.7697719999414403,0.02490699989721179,,,,,,,,,,,,,,
8,2025-11-29T21:42:01.925230+00:00,7,7,2025-07-01T19:40:04.103013,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,0.14826025975309232,-0.05033825848676665,9.801158848580469,cautious,False,0.2019079999797668,Gasoline,1.0,45.13012299997854,0.0002399999914359,True,Rodovia,[0.19 0.81],129.65538399998877,0.0,0.0,77.70653596347273,9.713316995434091,A,28.5,395.36,57.6,395.36,False,False,nenhum,,,,0.0,3.8768851187593505,-4.878932859808352,-4.571229659888353,9.802409388512437,1.0,[0.19 0.81],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.077,6.2e-05,6e-06,7.3e-05,333.81,4.15,True,0.132,0.000119,1.2e-05,0.000131,333.81,4.15,True,0.007,6e-06,1e-06,7e-06,333.81,4.15,True,151.265,0.131326,0.019855,0.151175,333.81,4.15,Cautious,low,True,0.021,1.8e-05,2e-06,2e-05,333.81,4.15,True,2.983,0.002995,0.0,0.002987,333.81,4.15,,3.3438649988966063,0.02794399915728718,,,,,,,,,,,,,,
9,2025-11-29T21:42:03.096372+00:00,8,8,2025-07-01T19:40:07.448968,0.0,840.0,33.0,72.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,-0.25063979208340914,0.04191555927859447,9.932509766355011,cautious,False,0.1035380000189434,Gasoline,1.0,34.74487899998735,0.0001299999894399,True,Cidade,[0.7 0.3],115.48303200001442,0.0,0.0,80.57427717164852,8.952697463516502,A,28.5,402.6,59.3,402.6,False,False,nenhum,,,,0.0,0.6130950002532822,1.1568130750411934,-2.843579568970398,9.935760035257642,0.0,[0.78 0.22],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.074,5.9e-05,6e-06,7.1e-05,333.81,4.15,True,0.117,0.000106,1.1e-05,0.000117,333.81,4.15,True,0.006,5e-06,0.0,5e-06,333.81,4.15,True,159.334,0.134406,0.023729,0.158127,333.81,4.15,Cautious,low,True,0.018,1.4e-05,2e-06,1.6e-05,333.81,4.15,True,1.768,0.001608,0.000164,0.001769,333.81,4.15,,1.9669229986902792,0.009536997822578996,,,,,,,,,,,,,,
10,2025-11-29T21:42:04.270761+00:00,9,9,2025-07-01T19:40:10.944583,0.0,840.0,33.0,72.0,-1.0,0.0,17.0,97.65,-5.8431992,-35.1977246,0.030343043158424066,-0.2880420410642395,9.68014632217786,cautious,False,0.0826300000085211,Gasoline,1.0,33.726985000015475,0.0001110000198423,True,Cidade,[0.71 0.29],114.43195300000752,0.0,0.0,80.57427717164852,8.057427717164853,A,28.5,419.1,60.4,419.1,False,False,nenhum,,,,0.0,3.534755439756122,1.5952896289573921,0.9975762858305188,9.684478392585845,0.0,[0.71 0.29],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.225,0.000185,0.0,0.000205,333.81,4.15,True,0.293,0.000276,0.0,0.000288,333.81,4.15,True,0.012,9e-06,0.0,1.1e-05,333.81,4.15,True,161.97,0.117859,0.043791,0.161642,333.81,4.15,Cautious,low,True,0.017,1.5e-05,0.0,1.6e-05,333.81,4.15,True,1.77,0.001774,0.0,0.001771,333.81,4.15,,1.968145003047539,0.007203998393379152,,,,,,,,,,,,,,
