row_id,ts,timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp,_ts_float,maf,road_type,gyro_z_dps,gyro_x,gyro_y,gyro_z,accel_magnitude,city_highway_int,city_highway_prob,city_highway,maf_estimated,co2_emission,co2_emission_per_km,total_distance,total_consumption,consumption_count,average_consumption,heading,m.teda.run.ok,m.teda.run.wall_ms,m.teda.run.cpu_user_s,m.teda.run.cpu_sys_s,m.teda.run.thread_cpu_s,m.teda.run.rss_mb,m.teda.run.mem_pct,m.mmcloud.process_point.ok,m.mmcloud.process_point.wall_ms,m.mmcloud.process_point.cpu_user_s,m.mmcloud.process_point.cpu_sys_s,m.mmcloud.process_point.thread_cpu_s,m.mmcloud.process_point.rss_mb,m.mmcloud.process_point.mem_pct,m.rf.fuel_type.ok,m.rf.fuel_type.wall_ms,m.rf.fuel_type.cpu_user_s,m.rf.fuel_type.cpu_sys_s,m.rf.fuel_type.thread_cpu_s,m.rf.fuel_type.rss_mb,m.rf.fuel_type.mem_pct,m.rf.city_highway.ok,m.rf.city_highway.wall_ms,m.rf.city_highway.cpu_user_s,m.rf.city_highway.cpu_sys_s,m.rf.city_highway.thread_cpu_s,m.rf.city_highway.rss_mb,m.rf.city_highway.mem_pct,policy_behavior,policy_severity,m.agent.behavior.ok,m.agent.behavior.wall_ms,m.agent.behavior.cpu_user_s,m.agent.behavior.cpu_sys_s,m.agent.behavior.thread_cpu_s,m.agent.behavior.rss_mb,m.agent.behavior.mem_pct,m.agent.safety_gps.ok,m.agent.safety_gps.wall_ms,m.agent.safety_gps.cpu_user_s,m.agent.safety_gps.cpu_sys_s,m.agent.safety_gps.thread_cpu_s,m.agent.safety_gps.rss_mb,m.agent.safety_gps.mem_pct,heading_message,orch_run_ms,orch_llm_enqueue_ms,llm_message,llm_source,llm_latency,llm_total_tokens,llm_input_tokens,llm_output_tokens,llm_total_ms_client,llm_cpu_avg_pct,llm_cpu_max_pct,llm_rss_peak_mb,llm_proc_samples,llm_proc_pid,llm_metrics_source,llm_agent_inserted_behavior_prf
1,2025-11-29T22:30:17.995318+00:00,2025-07-02T20:33:34.909358,0.0,958.0,45.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041906654130279386,0.1291614948814348,10.229529344985924,normal,False,0.0198329998966073,gasolina,1.0,82.45073999933084,0.0001480002538301,False,Cidade,[0.7 0.3],140.66916400042828,0.0,0.0,3.0211857,3.0211857,A,28.5,215.55,60.9,,,,0.0,1.1035814359995584,-2.60915634772392,-0.9129450506645798,10.230430561777375,0.0,[0.75 0.25],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.049,3.1e-05,1e-06,4.3e-05,228.88,2.84,True,0.211,0.000199,1.1e-05,0.000212,228.88,2.84,True,0.008,7e-06,1e-06,7e-06,228.88,2.84,True,161.733,0.129842,0.031857,0.161691,243.78,3.03,Cautious,low,True,0.024,2.1e-05,1e-06,2.3e-05,243.78,3.03,True,2.347,0.002198,0.000139,0.002335,243.78,3.03,,2.5977730001613963,0.026091998734045774,Behavior: Cautious. PRF zone: none. Cautious driving is crucial for safety and fuel economy.,model,,85,73,12,2059,277.9619047619048,398.7,631.703125,21,48588,server+client,True
2,2025-11-29T22:30:19.205023+00:00,2025-07-02T20:33:38.302441,0.0,958.0,45.0,79.0,0.0,0.0,16.0,51.76,0.0,0.0,-0.10704154304490676,-0.23453304192388336,9.867177313735365,normal,False,0.1085179992514895,gasolina,1.0,45.011379999778,0.0001480002538301,False,Rodovia,[0.4 0.6],144.18167500116397,0.0,0.0,89.91777372732838,44.95888686366419,A,28.5,575.55,61.5,,,,0.0,2.6582703689136755,1.805052291905942,-2.658999386190791,9.870544654697904,1.0,[0.2 0.8],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.11,8.4e-05,6e-06,9.6e-05,243.78,3.03,True,0.183,0.000172,1.1e-05,0.000183,243.78,3.03,True,0.007,5e-06,0.0,6e-06,243.78,3.03,True,200.742,0.12111,0.035802,0.155903,244.03,3.03,Cautious,low,True,0.025,2e-05,2e-06,2.3e-05,244.03,3.03,True,2.408,0.002399,0.0,0.002393,244.03,3.03,,2.7244400007475633,0.012944001355208457,,,,,,,,,,,,,,
3,2025-11-29T22:30:20.335340+00:00,2025-07-02T20:33:41.748943,0.0,958.0,45.0,79.0,-6.5,49.0,16.0,51.76,0.0,0.0,-0.05675079135252037,0.17242485666428398,10.092477217098008,cautious,False,0.105406999864499,etanol,1.0,50.109109999539214,0.0001850003172876,True,Cidade,[0.5 0.5],156.89681299954827,0.0,0.0,127.87595046668336,42.62531682222778,A,28.5,575.55,59.8,,,,0.0,0.6004528484729024,3.0473257511880103,-4.7718616065350865,10.094109537802588,1.0,[0.43 0.57],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.073,6e-05,4e-06,7e-05,244.03,3.03,True,0.12,0.000112,8e-06,0.000121,244.03,3.03,True,0.006,5e-06,1e-06,6e-06,244.03,3.03,True,120.621,0.084663,0.035759,0.120416,244.05,3.03,Cautious,low,True,0.022,1.7e-05,2e-06,2.1e-05,244.05,3.03,True,1.818,0.001688,0.000135,0.00182,244.05,3.03,,2.022941000177525,0.010333002137485892,,,,,,,,,,,,,,
4,2025-11-29T22:30:21.481302+00:00,2025-07-02T20:33:45.852375,0.0,958.0,45.0,79.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,0.17910385323931732,0.12119659996469367,9.597659211403931,cautious,False,0.2172959993913537,etanol,1.0,198.964719000287,0.0001480002538301,True,Rodovia,[0.41 0.59],503.6909400005243,0.0,0.0,127.87595046668336,31.968987616670837,A,28.5,575.55,68.6,,,,0.0,-1.4375869037610443,4.631909499244733,-2.511308784245898,9.600095267461407,0.0,[0.5 0.5],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.087,7.5e-05,0.0,8.4e-05,244.05,3.03,True,0.177,0.000177,0.0,0.000177,244.05,3.03,True,0.008,6e-06,0.0,8e-06,244.05,3.03,True,138.145,0.105898,0.031765,0.137657,244.05,3.03,Cautious,low,True,0.021,1.8e-05,2e-06,2e-05,244.05,3.03,True,1.993,0.001983,0.0,0.00198,244.05,3.03,,2.213218998804223,0.011852000170620158,,,,,,,,,,,,,,
5,2025-11-29T22:30:22.778502+00:00,2025-07-02T20:33:49.200907,0.0,951.0,44.0,80.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,-0.22909291367526985,0.15895099366760568,10.349868449817295,cautious,False,0.2987959996971767,etanol,1.0,44.07234499922197,0.0001289990905206,True,Cidade,[0.66 0.34],146.30480000050738,0.0,0.0,128.81720351954016,25.76344070390803,A,28.5,561.22,63.7,,,,0.0,-4.8661054818256275,-2.557253435729523,0.9098902713692034,10.353623805702409,0.0,[0.59 0.41],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.172,0.000139,1.2e-05,0.000163,244.05,3.03,True,0.278,0.000248,2.1e-05,0.000274,244.05,3.03,True,0.013,1.1e-05,1e-06,1.2e-05,244.05,3.03,True,285.286,0.208005,0.0644,0.272382,244.3,3.04,Cautious,low,True,0.043,3.2e-05,3e-06,3.9e-05,244.3,3.04,True,4.695,0.001063,0.003576,0.004627,244.3,3.04,,5.366175999370171,0.02925999797298573,,,,,,,,,,,,,,
6,2025-11-29T22:30:24.012384+00:00,2025-07-02T20:33:52.661470,0.0,951.0,44.0,80.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,0.4187449933193569,-0.4474896229220354,9.505622330436498,cautious,False,0.1393700003973208,etanol,1.0,60.72995599970454,0.0001670014171395,True,Cidade,[0.66 0.34],162.74378100024478,0.0,0.0,128.81720351954016,21.46953391992336,A,28.5,561.22,60.4,,,,0.0,3.721959906915103,2.4406477340959656,-3.1847523448808976,9.52535827257673,0.0,[0.67 0.33],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.12,0.000103,0.0,0.000113,244.3,3.04,True,0.197,0.000197,0.0,0.000196,244.3,3.04,True,0.011,1e-05,0.0,1.1e-05,244.3,3.04,True,214.701,0.15907,0.051233,0.210289,244.3,3.04,Cautious,low,True,0.046,3.6e-05,4e-06,4.3e-05,244.3,3.04,True,1.854,0.001678,0.00018,0.001855,244.3,3.04,,2.1588110030279495,0.009277999197365716,,,,,,,,,,,,,,
7,2025-11-29T22:30:25.213987+00:00,2025-07-02T20:33:56.306799,0.0,951.0,44.0,80.0,-7.0,49.0,16.0,51.76,-5.8432131,-35.1976338,0.3196553992485158,0.14668000904147083,10.167609477287051,cautious,False,0.1017589984257938,etanol,1.0,43.858809000084875,0.0001299995346926,True,Cidade,[0.67 0.33],149.2835150002065,0.0,0.0,128.81720351954016,18.402457645648592,A,28.5,561.22,65.3,,,,0.0,0.6810911317213986,-3.152922631217688,-0.6205805328065441,10.173690435723833,0.0,[0.56 0.44],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.128,0.000111,0.0,0.000121,244.3,3.04,True,0.163,0.000163,0.0,0.000163,244.3,3.04,True,0.007,6e-06,0.0,6e-06,244.3,3.04,True,188.815,0.138553,0.044046,0.182593,244.67,3.04,Cautious,low,True,0.019,1.5e-05,2e-06,1.8e-05,244.67,3.04,True,1.796,0.001799,0.0,0.001797,244.67,3.04,,1.9979410026280675,0.009037001291289926,,,,,,,,,,,,,,
8,2025-11-29T22:30:26.452264+00:00,2025-07-02T20:33:59.739686,0.0,951.0,44.0,80.0,-7.0,49.0,16.0,51.76,-5.8432131,-35.1976338,-0.35311489765821,-0.23032831300537093,9.613743709224591,cautious,False,0.1100739991670707,etanol,1.0,46.149803998559946,0.0002039996616076,True,Cidade,[0.67 0.33],149.5952560017031,0.0,0.0,128.81720351954016,16.10215043994252,A,28.5,561.22,63.7,,,,0.0,-2.13299547776597,1.9174407435057788,2.4887856289718577,9.622983392346445,0.0,[0.67 0.33],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.127,0.00011,0.0,0.00012,244.67,3.04,True,0.179,0.000178,0.0,0.000178,244.67,3.04,True,0.008,7e-06,0.0,8e-06,244.67,3.04,True,225.776,0.172952,0.043972,0.216911,244.67,3.04,Cautious,low,True,0.042,3.5e-05,5e-06,4e-05,244.67,3.04,True,3.428,0.003433,0.0,0.00343,244.67,3.04,,3.724753001733916,0.011518000974319875,,,,,,,,,,,,,,
9,2025-11-29T22:30:27.661973+00:00,2025-07-02T20:34:03.135189,0.0,950.0,45.0,80.0,-7.0,49.0,16.0,51.76,-5.8432127,-35.197634,-0.3278680671390882,0.35478802394717923,9.818901541294334,cautious,False,0.1549620010337093,etanol,1.0,51.055772999461624,0.0001480002538301,True,Rodovia,[0.27 0.73],166.086200000791,0.0,0.0,128.9528005758765,14.328088952875166,A,28.5,573.75,64.2,,,,0.0,4.082245900111188,3.9742868079125433,-4.706354778944077,9.830778173116212,1.0,[0.26 0.74],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.58,0.000328,3.9e-05,0.000373,244.67,3.04,True,0.306,0.000271,3.2e-05,0.000305,244.67,3.04,True,0.013,1e-05,1e-06,1.2e-05,244.67,3.04,True,195.843,0.14924,0.044165,0.193395,244.69,3.04,Cautious,low,True,0.045,2.9e-05,3e-06,3.8e-05,244.69,3.04,True,6.156,0.006171,0.0,0.00616,244.69,3.04,,6.671471001027385,0.008259001333499327,,,,,,,,,,,,,,
10,2025-11-29T22:30:28.907002+00:00,2025-07-02T20:34:06.850952,0.0,950.0,45.0,80.0,-7.0,49.0,16.0,51.76,-5.8432127,-35.197634,-0.3222457783813093,-0.15642364954177923,9.525091163907163,cautious,False,0.1034630004141945,etanol,1.0,103.15245300080278,0.0001110001903725,True,Rodovia,[0.38 0.62],205.6711289988016,0.0,0.0,128.9528005758765,12.89528005758765,A,28.5,573.75,68.6,,,,0.0,0.7123475070095422,-1.9811286213118064,2.7347230136316627,9.531824189553795,0.0,[0.54 0.46],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.146,0.000115,1.4e-05,0.000139,244.69,3.04,True,0.294,0.000261,3.3e-05,0.000294,244.69,3.04,True,0.012,7e-06,1e-06,1.2e-05,244.69,3.04,True,228.414,0.178394,0.043835,0.222191,244.69,3.04,Cautious,low,True,0.077,6.4e-05,0.0,7.1e-05,244.69,3.04,True,3.781,0.003784,0.0,0.003781,244.69,3.04,,4.412714999489253,0.007110997103154659,,,,,,,,,,,,,,
