row_id,ts,timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp,_ts_float,maf,road_type,gyro_z_dps,gyro_x,gyro_y,gyro_z,accel_magnitude,city_highway_int,city_highway_prob,city_highway,maf_estimated,co2_emission,co2_emission_per_km,total_distance,total_consumption,consumption_count,average_consumption,heading,m.teda.run.ok,m.teda.run.wall_ms,m.teda.run.cpu_user_s,m.teda.run.cpu_sys_s,m.teda.run.thread_cpu_s,m.teda.run.rss_mb,m.teda.run.mem_pct,m.mmcloud.process_point.ok,m.mmcloud.process_point.wall_ms,m.mmcloud.process_point.cpu_user_s,m.mmcloud.process_point.cpu_sys_s,m.mmcloud.process_point.thread_cpu_s,m.mmcloud.process_point.rss_mb,m.mmcloud.process_point.mem_pct,m.rf.fuel_type.ok,m.rf.fuel_type.wall_ms,m.rf.fuel_type.cpu_user_s,m.rf.fuel_type.cpu_sys_s,m.rf.fuel_type.thread_cpu_s,m.rf.fuel_type.rss_mb,m.rf.fuel_type.mem_pct,m.rf.city_highway.ok,m.rf.city_highway.wall_ms,m.rf.city_highway.cpu_user_s,m.rf.city_highway.cpu_sys_s,m.rf.city_highway.thread_cpu_s,m.rf.city_highway.rss_mb,m.rf.city_highway.mem_pct,policy_behavior,policy_severity,m.agent.behavior.ok,m.agent.behavior.wall_ms,m.agent.behavior.cpu_user_s,m.agent.behavior.cpu_sys_s,m.agent.behavior.thread_cpu_s,m.agent.behavior.rss_mb,m.agent.behavior.mem_pct,m.agent.safety_gps.ok,m.agent.safety_gps.wall_ms,m.agent.safety_gps.cpu_user_s,m.agent.safety_gps.cpu_sys_s,m.agent.safety_gps.thread_cpu_s,m.agent.safety_gps.rss_mb,m.agent.safety_gps.mem_pct,heading_message,orch_run_ms,orch_llm_enqueue_ms,llm_message,llm_source,llm_latency,llm_total_tokens,llm_input_tokens,llm_output_tokens,llm_total_ms_client,llm_cpu_avg_pct,llm_cpu_max_pct,llm_rss_peak_mb,llm_proc_samples,llm_proc_pid,llm_metrics_source,llm_agent_inserted_behavior_prf
1,2025-11-30T10:27:52.885067+00:00,2025-07-02T17:46:13.559671,0.0,961.0,22.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09177216039621017,-0.39348105142146217,9.674522016338738,normal,False,0.0271110000085172,gasolina,1.0,98.5299880000241,0.0001479999980347,False,Cidade,[0.81 0.19],616.3329820000172,0.0,0.0,3.0211857,3.0211857,A,28.5,105.71,57.6,,,,0.0,0.604131189880035,3.329012260319235,1.5188092143838192,9.682955422383937,0.0,[0.82 0.18],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.024,1.5e-05,1e-06,2.1e-05,228.89,2.84,True,0.114,0.000106,7e-06,0.000114,228.89,2.84,True,0.006,5e-06,1e-06,5e-06,228.89,2.84,True,150.357,0.098713,0.051542,0.150248,243.72,3.03,Cautious,low,True,0.02,1.7e-05,2e-06,1.9e-05,243.72,3.03,True,2.242,0.002058,0.000175,0.00223,243.72,3.03,,2.4639410003146622,0.02596300009827246,Behavior: Cautious. PRF zone: none. Cautious driving is crucial for safety and fuel economy.,model,,85,73,12,2153,277.01363636363635,408.7,631.171875,22,10539,server+client,True
2,2025-11-30T10:27:54.049941+00:00,2025-07-02T17:46:17.027402,0.0,961.0,22.0,63.0,0.0,0.0,17.0,69.8,-5.843196,-35.1975245,0.3673985685333081,0.26675492116578114,9.844240469496421,normal,False,0.1135369999758495,gasolina,1.0,50.838050999999496,0.000166999996054,False,Cidade,[0.84 0.16],168.1044780000036,0.0,0.0,3.0211857,1.51059285,A,28.5,292.71,57.1,,,,0.0,-4.760561272482419,3.424651661798059,3.8341337180688573,9.854704983783005,0.0,[0.85 0.15],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.09,7.3e-05,6e-06,8.5e-05,243.72,3.03,True,0.185,0.000173,1.5e-05,0.000186,243.72,3.03,True,0.008,6e-06,0.0,7e-06,243.72,3.03,True,155.821,0.106155,0.039626,0.145001,244.7,3.04,Cautious,low,True,0.027,2.2e-05,2e-06,2.5e-05,244.7,3.04,True,2.493,0.002501,0.0,0.002496,244.7,3.04,,2.790699000343011,0.010741000096459175,,,,,,,,,,,,,,
3,2025-11-30T10:27:55.255473+00:00,2025-07-02T17:46:20.474007,0.0,961.0,22.0,63.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,0.26182831399754714,0.24393155026442515,9.949927863357752,cautious,False,0.0932030000058148,gasolina,1.0,43.98112300000889,0.0001479999980347,True,Cidade,[0.96 0.04],172.88108300002136,0.0,0.0,64.38792625388662,21.46264208462887,A,28.5,292.71,58.7,,,,0.0,0.6720607176165538,-2.1960192543169796,-2.1717053917101103,9.956360838843086,0.0,[0.96 0.04],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.069,5.7e-05,5e-06,6.6e-05,244.7,3.04,True,0.125,0.000115,1.1e-05,0.000126,244.7,3.04,True,0.006,5e-06,1e-06,6e-06,244.7,3.04,True,134.216,0.086187,0.048003,0.134186,244.81,3.04,Cautious,low,True,0.019,1.6e-05,1e-06,1.8e-05,244.81,3.04,True,1.86,0.001863,0.0,0.001861,244.81,3.04,,2.071200999580469,0.011184999948454788,,,,,,,,,,,,,,
4,2025-11-30T10:27:56.383660+00:00,2025-07-02T17:46:24.492771,0.0,961.0,22.0,63.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,-0.43222030983976045,-0.377644924245494,9.82166657023221,cautious,False,0.2827200000012908,gasolina,1.0,167.38916700001027,0.0001299999894399,True,Cidade,[0.93 0.07],458.02015600000345,0.0,0.0,64.38792625388662,16.096981563471655,A,28.5,292.71,65.3,,,,0.0,-4.943970889158775,0.3924297557864085,-3.2519750590603804,9.838422856426904,0.0,[0.97 0.03],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.07,6.2e-05,0.0,6.7e-05,244.81,3.04,True,0.114,0.000102,1.1e-05,0.000114,244.81,3.04,True,0.006,5e-06,0.0,6e-06,244.81,3.04,True,120.0,0.080106,0.039863,0.119964,244.72,3.04,Cautious,low,True,0.019,1.6e-05,2e-06,1.8e-05,244.72,3.04,True,1.776,0.00178,0.0,0.001777,244.72,3.04,,1.9785149997915141,0.011055999948439421,,,,,,,,,,,,,,
5,2025-11-30T10:27:57.511081+00:00,2025-07-02T17:46:27.898848,0.0,993.0,17.0,64.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,-0.14843637858617909,-0.23306059236658083,10.123862042005682,cautious,False,0.0987960000031762,gasolina,1.0,44.8251560000017,0.0001299999894399,True,Cidade,[1. 0.],160.08157600001027,0.0,0.0,62.3129880463092,12.46259760926184,A,28.5,228.905,60.4,,,,0.0,-0.4045646816988224,2.587882986960606,0.6368380199937356,10.127632163727387,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.067,6e-05,0.0,6.4e-05,244.72,3.04,True,0.182,0.000164,1.9e-05,0.000183,244.72,3.04,True,0.006,4e-06,0.0,5e-06,244.72,3.04,True,119.851,0.072003,0.047823,0.119821,244.72,3.04,Cautious,low,True,0.019,1.6e-05,2e-06,1.8e-05,244.72,3.04,True,1.762,0.001765,0.0,0.001763,244.72,3.04,,1.9586079997679917,0.011147999884997262,,,,,,,,,,,,,,
6,2025-11-30T10:27:58.648232+00:00,2025-07-02T17:46:31.317074,0.0,993.0,17.0,64.0,-10.5,39.0,16.0,69.8,-5.843196,-35.1975245,-0.09134070558568586,-0.3985825082986052,10.096299898325034,cautious,False,0.1977949999911743,gasolina,1.0,44.729951999983086,0.0001479999980347,True,Cidade,[1. 0.],163.75457499998447,0.0,0.0,62.3129880463092,10.3854980077182,A,28.5,220.405,60.4,,,,0.0,-1.8723337302225862,3.747363457877084,-4.922869584925592,10.104577318093844,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.065,5.1e-05,6e-06,6.2e-05,244.72,3.04,True,0.138,0.000123,1.5e-05,0.000138,244.72,3.04,True,0.005,4e-06,0.0,5e-06,244.72,3.04,True,128.759,0.085237,0.043494,0.128726,244.72,3.04,Cautious,low,True,0.018,1.4e-05,2e-06,1.7e-05,244.72,3.04,True,1.708,0.001508,0.000204,0.001709,244.72,3.04,,1.9032569998671534,0.011481999990792247,,,,,,,,,,,,,,
7,2025-11-30T10:27:59.819297+00:00,2025-07-02T17:46:34.923924,0.0,993.0,17.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,-0.4307567925775203,-0.4626549492202443,10.138835477624447,cautious,False,0.2231099999789876,gasolina,1.0,56.73074200001338,0.000166999996054,True,Cidade,[1. 0.],172.55015800000706,0.0,0.0,76.52472216213413,10.93210316601916,A,28.5,220.405,63.1,,,,0.0,-2.998364765344046,0.10182799625433425,0.9713335682805315,10.158522818733331,0.0,[0.99 0.01],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.075,6.4e-05,0.0,7.1e-05,244.72,3.04,True,0.154,0.000155,0.0,0.000154,244.72,3.04,True,0.006,5e-06,0.0,6e-06,244.72,3.04,True,163.771,0.126296,0.031113,0.157401,244.72,3.04,Cautious,low,True,0.024,1.8e-05,3e-06,2.3e-05,244.72,3.04,True,3.19,0.00319,0.0,0.003178,244.72,3.04,,3.6481430001913395,0.023591999706695788,,,,,,,,,,,,,,
8,2025-11-30T10:28:01.173562+00:00,2025-07-02T17:46:38.322568,0.0,993.0,17.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,0.1743701055160134,0.3366157049287749,10.352314725036482,cautious,False,0.1747769999838055,gasolina,1.0,42.17105899999751,0.0002230000006875,True,Cidade,[0.99 0.01],167.47411099999,0.0,0.0,76.52472216213413,9.565590270266766,A,28.5,220.405,60.4,,,,0.0,-4.712394847854059,-2.5369003397177803,-0.626147764195891,10.359253604034874,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.181,0.000163,0.0,0.000174,244.72,3.04,True,0.375,0.000374,0.0,0.000374,244.72,3.04,True,0.794,7.4e-05,0.0,7.7e-05,244.72,3.04,True,341.845,0.234043,0.058887,0.292923,245.05,3.04,Cautious,low,True,0.044,3.3e-05,5e-06,4e-05,245.05,3.04,True,4.158,0.00416,2.7e-05,0.004168,245.05,3.04,,4.784806999850844,0.041370999952050624,,,,,,,,,,,,,,
9,2025-11-30T10:28:02.431872+00:00,2025-07-02T17:46:41.727730,6.0,1327.0,39.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,-0.29888600021299805,0.30638101156242736,10.071485776043552,normal,True,0.1101659999847015,gasolina,1.0,48.11556499998915,0.0001299999894399,False,Cidade,[0.8 0.2],170.40161400001352,0.0,0.0016666666666666,2134.929467929132,237.21438532545912,A,28.5,658.575,60.9,,,,0.0,1.9312311421348207,3.169163363923765,0.7704898583844777,10.080576764373005,0.0,[0.78 0.22],City,False,0.0,0.0,0.0016666666666666668,0.0,1,0.0,N,True,0.178,0.000154,0.0,0.000161,245.05,3.04,True,0.255,0.000254,0.0,0.000255,245.05,3.04,True,0.007,6e-06,0.0,7e-06,245.05,3.04,True,234.911,0.172702,0.05498,0.227675,245.05,3.04,Cautious,low,True,0.017,1.4e-05,2e-06,1.6e-05,245.05,3.04,True,1.926,0.001863,0.0,0.001862,245.05,3.04,,2.1644409998771152,0.00687100009599817,,,,,,,,,,,,,,
10,2025-11-30T10:28:03.651217+00:00,2025-07-02T17:46:45.547439,6.0,1327.0,39.0,65.0,-13.0,39.0,22.0,69.8,-5.8431958,-35.1975247,0.12061820417270264,-0.1362776520757345,9.827316196554234,normal,True,0.4046650000191221,gasolina,1.0,205.43609899999635,0.0001299999894399,False,Cidade,[0.76 0.24],198.43215399998823,0.0,0.0016666666666666,2134.929467929132,213.4929467929132,A,28.5,793.575,63.7,,,,0.0,2.4532845176980693,-4.639784110912202,-3.244361724470002,9.829001168821291,0.0,[0.76 0.24],City,False,0.0,0.0,0.0016666666666666668,0.0,1,0.0,N,True,0.19,0.000175,0.0,0.000184,245.05,3.04,True,0.235,0.000204,3.1e-05,0.000235,245.05,3.04,True,0.009,6e-06,1e-06,7e-06,245.05,3.04,True,208.577,0.178179,0.02832,0.206488,245.05,3.04,Cautious,low,True,0.031,2.3e-05,3e-06,2.8e-05,245.05,3.04,True,4.363,0.004321,5.2e-05,0.004367,245.05,3.04,,4.808362999938254,0.019148999854223803,,,,,,,,,,,,,,
