row_id,ts,Unnamed: 0.1,Unnamed: 0,timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp,radar_area_original,has_acidente,has_multa,ground_truth,_ts_float,maf,road_type,gyro_z_dps,gyro_x,gyro_y,gyro_z,accel_magnitude,city_highway_int,city_highway_prob,city_highway,maf_estimated,co2_emission,co2_emission_per_km,total_distance,total_consumption,consumption_count,average_consumption,heading,m.teda.run.ok,m.teda.run.wall_ms,m.teda.run.cpu_user_s,m.teda.run.cpu_sys_s,m.teda.run.thread_cpu_s,m.teda.run.rss_mb,m.teda.run.mem_pct,m.mmcloud.process_point.ok,m.mmcloud.process_point.wall_ms,m.mmcloud.process_point.cpu_user_s,m.mmcloud.process_point.cpu_sys_s,m.mmcloud.process_point.thread_cpu_s,m.mmcloud.process_point.rss_mb,m.mmcloud.process_point.mem_pct,m.rf.fuel_type.ok,m.rf.fuel_type.wall_ms,m.rf.fuel_type.cpu_user_s,m.rf.fuel_type.cpu_sys_s,m.rf.fuel_type.thread_cpu_s,m.rf.fuel_type.rss_mb,m.rf.fuel_type.mem_pct,m.rf.city_highway.ok,m.rf.city_highway.wall_ms,m.rf.city_highway.cpu_user_s,m.rf.city_highway.cpu_sys_s,m.rf.city_highway.thread_cpu_s,m.rf.city_highway.rss_mb,m.rf.city_highway.mem_pct,policy_behavior,policy_severity,m.agent.behavior.ok,m.agent.behavior.wall_ms,m.agent.behavior.cpu_user_s,m.agent.behavior.cpu_sys_s,m.agent.behavior.thread_cpu_s,m.agent.behavior.rss_mb,m.agent.behavior.mem_pct,m.agent.safety_gps.ok,m.agent.safety_gps.wall_ms,m.agent.safety_gps.cpu_user_s,m.agent.safety_gps.cpu_sys_s,m.agent.safety_gps.thread_cpu_s,m.agent.safety_gps.rss_mb,m.agent.safety_gps.mem_pct,heading_message,orch_run_ms,orch_llm_enqueue_ms,llm_message,llm_source,llm_latency,llm_total_tokens,llm_input_tokens,llm_output_tokens,llm_total_ms_client,llm_cpu_avg_pct,llm_cpu_max_pct,llm_rss_peak_mb,llm_proc_samples,llm_proc_pid,llm_metrics_source,llm_agent_inserted_behavior_prf
1,2025-11-30T19:02:15.157396+00:00,0,0,2025-07-01T19:39:40.300056,0.0,871.0,32.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10174100360603211,-0.2496984674038356,10.327960626070764,normal,False,0.0255000000208838,Gasoline,1.0,184.4432940000047,0.0001290000000153,False,Cidade,[0.62 0.38],631.5236760000005,0.0,0.0,3.0211857,3.0211857,A,28.5,139.36,59.3,139.36,False,False,nenhum,,,,0.0,4.958270177730746,-3.112541085204772,0.7123155130074332,10.331479625402482,0.0,[0.69 0.31],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.029,1.7e-05,1e-06,2.5e-05,229.38,2.85,True,0.127,0.000118,8e-06,0.000127,229.38,2.85,True,0.006,5e-06,1e-06,6e-06,229.38,2.85,True,150.949,0.119038,0.031867,0.150897,243.91,3.03,Cautious,low,True,0.022,1.9e-05,1e-06,2.1e-05,243.91,3.03,True,2.305,0.002293,0.0,0.00229,243.91,3.03,,2.532788999985769,0.02531500001623499,Cautious driving is good for safety and fuel economy. Behavior: Cautious. PRF Zone: none.,model,,96,72,24,2668,226.40740740740736,378.7,405.90625,27,3526,server+client,False
2,2025-11-30T19:02:16.345127+00:00,1,1,2025-07-01T19:39:43.658232,0.0,871.0,32.0,70.0,0.0,0.0,16.0,97.65,0.0,0.0,0.35390386255638107,-0.07510825817281763,9.514596902237287,normal,False,0.2081479999844759,Gasoline,1.0,50.42669999997429,0.0002040000026681,False,Rodovia,[0.2 0.8],130.82847100000097,0.0,0.0,3.0211857,1.51059285,A,28.5,395.36,58.2,395.36,False,False,nenhum,,,,0.0,1.4955248746065486,2.1094436359848343,-3.987009027564199,9.521472754067066,1.0,[0.26 0.74],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.098,8.2e-05,6e-06,9.3e-05,243.91,3.03,True,0.204,0.00019,1.4e-05,0.000205,243.91,3.03,True,0.007,5e-06,1e-06,7e-06,243.91,3.03,True,173.456,0.102051,0.063399,0.164493,244.91,3.04,Cautious,low,True,0.026,2e-05,2e-06,2.4e-05,244.91,3.04,True,2.059,0.001894,0.00017,0.002061,244.91,3.04,,2.3035120000258757,0.013259000013476907,,,,,,,,,,,,,,
3,2025-11-30T19:02:17.735670+00:00,2,2,2025-07-01T19:39:47.017887,0.0,871.0,32.0,70.0,-1.0,0.0,16.0,97.65,0.0,0.0,-0.2765341759082146,0.22753484311677608,10.170599463098016,cautious,False,0.0871299999971597,Gasoline,1.0,34.06558000000359,0.0001300000178616,True,Rodovia,[0.22 0.78],115.9289769999816,0.0,0.0,77.70653596347273,25.90217865449091,A,28.5,395.36,58.7,395.36,False,False,nenhum,,,,0.0,-3.1566618768176014,3.831958120169732,4.1493723445392785,10.176902116756704,1.0,[0.27 0.73],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.138,0.00012,0.0,0.000131,244.91,3.04,True,0.243,0.000245,0.0,0.000244,244.91,3.04,True,0.012,1.1e-05,0.0,1.2e-05,244.91,3.04,True,372.145,0.290364,0.055601,0.341965,245.0,3.04,Cautious,low,True,0.127,0.000108,0.0,0.000119,245.0,3.04,True,8.937,0.00891,0.0,0.008903,245.0,3.04,,10.289082000042526,0.023814999963178707,,,,,,,,,,,,,,
4,2025-11-30T19:02:18.918800+00:00,3,3,2025-07-01T19:39:50.511029,0.0,871.0,32.0,70.0,-1.0,0.0,16.0,97.65,0.0,0.0,0.34340647061852925,0.20564474286407475,10.044044070600549,cautious,False,0.1895380000007662,Gasoline,1.0,80.31248500000743,0.0001300000178616,True,Rodovia,[0.19 0.81],135.18794300000536,0.0,0.0,77.70653596347273,19.426633990868183,A,28.5,395.36,67.0,395.36,False,False,nenhum,,,,0.0,-2.6703873928600608,-3.38922348586253,-3.3497591292765403,10.052016666146965,1.0,[0.27 0.73],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.07,6.2e-05,0.0,6.8e-05,245.0,3.04,True,0.13,0.000129,0.0,0.00013,245.0,3.04,True,0.013,1.3e-05,0.0,1.4e-05,245.0,3.04,True,163.64,0.128071,0.031486,0.15955,244.98,3.04,Cautious,low,True,0.027,2.2e-05,3e-06,2.6e-05,244.98,3.04,True,1.978,0.001971,0.0,0.001967,244.98,3.04,,2.232418999994934,0.010056000007807597,,,,,,,,,,,,,,
5,2025-11-30T19:02:20.260178+00:00,4,4,2025-07-01T19:39:53.897758,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,-0.43085094475684194,0.3059001283005791,10.33950145533847,cautious,False,0.0977600000169331,Gasoline,1.0,41.811665000011544,0.0001850000046488,True,Rodovia,[0.19 0.81],120.04245700001093,0.0,0.0,77.70653596347273,15.541307192694546,A,28.5,395.36,60.4,395.36,False,False,nenhum,,,,0.0,-1.1237221367481975,-2.4186703414787427,-1.9540419455785751,10.352994628127577,1.0,[0.28 0.72],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.116,8.9e-05,9e-06,0.000109,244.98,3.04,True,0.912,0.000607,6.2e-05,0.000691,244.98,3.04,True,0.012,9e-06,0.0,1.1e-05,244.98,3.04,True,297.453,0.231355,0.063697,0.295027,245.19,3.05,Cautious,low,True,0.075,0.0,6.2e-05,6.8e-05,245.19,3.05,True,6.514,0.003897,0.00266,0.006534,245.19,3.05,,7.718607000015254,0.023555999973723374,,,,,,,,,,,,,,
6,2025-11-30T19:02:21.497124+00:00,5,5,2025-07-01T19:39:57.243562,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,0.013883744374863505,0.11442882446357883,10.135221149192262,cautious,False,0.0893700000119679,Gasoline,1.0,34.3761360000201,0.0001479999980347,True,Rodovia,[0.19 0.81],116.37247999999543,0.0,0.0,77.70653596347273,12.951089327245455,A,28.5,395.36,58.2,395.36,False,False,nenhum,,,,0.0,-1.5313495103012311,3.3195505307011928,-3.432951420916337,10.135876600337047,1.0,[0.28 0.72],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.073,6.4e-05,0.0,6.9e-05,245.19,3.05,True,0.111,0.0001,1.2e-05,0.000111,245.19,3.05,True,0.006,5e-06,1e-06,6e-06,245.19,3.05,True,215.423,0.168367,0.044372,0.212733,245.19,3.05,Cautious,low,True,0.041,3e-05,4e-06,3.7e-05,245.19,3.05,True,3.307,0.003311,0.0,0.003308,245.19,3.05,,3.597694000006868,0.01692500001126973,,,,,,,,,,,,,,
7,2025-11-30T19:02:22.711284+00:00,6,6,2025-07-01T19:40:00.745214,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,-0.3112932105887797,0.3887443656915536,10.008971697485894,cautious,False,0.0873150000018085,Gasoline,1.0,33.73785600001611,0.0001479999980347,True,Rodovia,[0.22 0.78],115.27660400000173,0.0,0.0,77.70653596347273,11.100933709067531,A,28.5,395.36,60.9,395.36,False,False,nenhum,,,,0.0,2.7721537110070704,4.241522234148977,-1.058687680849224,10.021354204192628,1.0,[0.28 0.72],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.083,6.6e-05,8e-06,7.9e-05,245.19,3.05,True,0.135,0.000122,1.5e-05,0.000136,245.19,3.05,True,0.007,6e-06,1e-06,7e-06,245.19,3.05,True,201.778,0.155977,0.044389,0.200353,245.23,3.05,Cautious,low,True,0.043,3.4e-05,4e-06,4.2e-05,245.23,3.05,True,3.124,0.00313,0.0,0.003125,245.23,3.05,,3.432156999963354,0.011943999993491161,,,,,,,,,,,,,,
8,2025-11-30T19:02:23.950332+00:00,7,7,2025-07-01T19:40:04.103013,0.0,871.0,32.0,71.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,0.23505134258064697,0.03346485750277406,10.223833246555326,cautious,False,0.2019079999797668,Gasoline,1.0,45.13012299997854,0.0002399999914359,True,Rodovia,[0.19 0.81],129.65538399998877,0.0,0.0,77.70653596347273,9.713316995434091,A,28.5,395.36,57.6,395.36,False,False,nenhum,,,,0.0,0.8287446277655128,-4.976581142089007,-1.1783637700996352,10.226589621359931,1.0,[0.28 0.72],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.074,6.7e-05,0.0,7.2e-05,245.23,3.05,True,0.121,0.000121,0.0,0.000121,245.23,3.05,True,0.007,6e-06,0.0,7e-06,245.23,3.05,True,226.827,0.168557,0.055011,0.223554,245.23,3.05,Cautious,low,True,0.026,2.1e-05,2e-06,2.5e-05,245.23,3.05,True,3.404,0.003413,0.0,0.003407,245.23,3.05,,3.718563000006725,0.017704000015328347,,,,,,,,,,,,,,
9,2025-11-30T19:02:25.159096+00:00,8,8,2025-07-01T19:40:07.448968,0.0,840.0,33.0,72.0,-1.0,0.0,16.0,97.65,-5.8431992,-35.1977242,0.2563287394187015,0.11804664782865082,9.833174993360124,cautious,False,0.1035380000189434,Gasoline,1.0,34.74487899998735,0.0001299999894399,True,Cidade,[0.7 0.3],115.48303200001442,0.0,0.0,80.57427717164852,8.952697463516502,A,28.5,402.6,59.3,402.6,False,False,nenhum,,,,0.0,-1.031038810202185,-2.7883503268102547,-4.381095586806173,9.837223687797206,0.0,[0.69 0.31],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.077,5.9e-05,8e-06,7.3e-05,245.23,3.05,True,0.113,0.000101,1.3e-05,0.000113,245.23,3.05,True,0.005,4e-06,0.0,5e-06,245.23,3.05,True,194.396,0.14592,0.048135,0.194048,245.23,3.05,Cautious,low,True,0.044,3.3e-05,5e-06,4e-05,245.23,3.05,True,3.202,0.00321,0.0,0.003204,245.23,3.05,,3.6515259999987393,0.013573999979143991,,,,,,,,,,,,,,
10,2025-11-30T19:02:26.390613+00:00,9,9,2025-07-01T19:40:10.944583,0.0,840.0,33.0,72.0,-1.0,0.0,17.0,97.65,-5.8431992,-35.1977246,0.3209589194484408,0.28199308195093253,9.713076628882126,cautious,False,0.0826300000085211,Gasoline,1.0,33.726985000015475,0.0001110000198423,True,Cidade,[0.71 0.29],114.43195300000752,0.0,0.0,80.57427717164852,8.057427717164853,A,28.5,419.1,60.4,419.1,False,False,nenhum,,,,0.0,-1.3596570161205235,-0.2728741622515223,4.354045909453955,9.722468427553666,0.0,[0.71 0.29],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.071,5.5e-05,7e-06,6.8e-05,245.23,3.05,True,0.105,9.3e-05,1.3e-05,0.000105,245.23,3.05,True,0.005,4e-06,1e-06,5e-06,245.23,3.05,True,219.543,0.146512,0.072181,0.218686,245.27,3.05,Cautious,low,True,0.135,9.4e-05,1.4e-05,0.000123,245.27,3.05,True,5.391,0.00539,0.0,0.005391,245.27,3.05,,6.5052030000174454,0.00898199999710414,,,,,,,,,,,,,,
