row_id,ts,timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp,_ts_float,maf,road_type,gyro_z_dps,gyro_x,gyro_y,gyro_z,accel_magnitude,city_highway_int,city_highway_prob,city_highway,maf_estimated,co2_emission,co2_emission_per_km,total_distance,total_consumption,consumption_count,average_consumption,heading,m.teda.run.ok,m.teda.run.wall_ms,m.teda.run.cpu_user_s,m.teda.run.cpu_sys_s,m.teda.run.thread_cpu_s,m.teda.run.rss_mb,m.teda.run.mem_pct,m.mmcloud.process_point.ok,m.mmcloud.process_point.wall_ms,m.mmcloud.process_point.cpu_user_s,m.mmcloud.process_point.cpu_sys_s,m.mmcloud.process_point.thread_cpu_s,m.mmcloud.process_point.rss_mb,m.mmcloud.process_point.mem_pct,m.rf.fuel_type.ok,m.rf.fuel_type.wall_ms,m.rf.fuel_type.cpu_user_s,m.rf.fuel_type.cpu_sys_s,m.rf.fuel_type.thread_cpu_s,m.rf.fuel_type.rss_mb,m.rf.fuel_type.mem_pct,m.rf.city_highway.ok,m.rf.city_highway.wall_ms,m.rf.city_highway.cpu_user_s,m.rf.city_highway.cpu_sys_s,m.rf.city_highway.thread_cpu_s,m.rf.city_highway.rss_mb,m.rf.city_highway.mem_pct,policy_behavior,policy_severity,m.agent.behavior.ok,m.agent.behavior.wall_ms,m.agent.behavior.cpu_user_s,m.agent.behavior.cpu_sys_s,m.agent.behavior.thread_cpu_s,m.agent.behavior.rss_mb,m.agent.behavior.mem_pct,m.agent.safety_gps.ok,m.agent.safety_gps.wall_ms,m.agent.safety_gps.cpu_user_s,m.agent.safety_gps.cpu_sys_s,m.agent.safety_gps.thread_cpu_s,m.agent.safety_gps.rss_mb,m.agent.safety_gps.mem_pct,heading_message,orch_run_ms,orch_llm_enqueue_ms,llm_message,llm_source,llm_latency,llm_total_tokens,llm_input_tokens,llm_output_tokens,llm_total_ms_client,llm_cpu_avg_pct,llm_cpu_max_pct,llm_rss_peak_mb,llm_proc_samples,llm_proc_pid,llm_metrics_source,llm_agent_inserted_behavior_prf
1,2025-11-30T20:01:33.427299+00:00,2025-07-02T20:33:34.909358,0.0,958.0,45.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33687585708944523,-0.4423938449782301,10.032243962517423,normal,False,0.0198329998966073,gasolina,1.0,82.45073999933084,0.0001480002538301,False,Cidade,[0.7 0.3],140.66916400042828,0.0,0.0,3.0211857,3.0211857,A,28.5,215.55,60.9,,,,0.0,2.4102061225534355,-1.2630924516509303,0.17008805708175778,10.047642339406378,0.0,[0.72 0.28],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.03,1.8e-05,2e-06,2.7e-05,228.86,2.84,True,0.225,0.000225,0.0,0.000224,228.86,2.84,True,0.008,7e-06,0.0,8e-06,228.86,2.84,True,163.096,0.103189,0.059755,0.16293,243.77,3.03,Cautious,low,True,0.024,2e-05,2e-06,2.3e-05,243.77,3.03,True,2.681,0.002708,0.0,0.002691,243.77,3.03,,3.1729400002404873,0.09322200003225589,Cautious driving is good for safety and fuel economy. Behavior: Cautious. PRF Zone: none.,model,,96,72,24,2000,264.54999999999995,401.1,405.890625,20,10178,server+client,False
2,2025-11-30T20:01:34.709154+00:00,2025-07-02T20:33:38.302441,0.0,958.0,45.0,79.0,0.0,0.0,16.0,51.76,0.0,0.0,-0.28114589487074715,0.4439361916617156,10.11123105106012,normal,False,0.1085179992514895,gasolina,1.0,45.011379999778,0.0001480002538301,False,Rodovia,[0.4 0.6],144.18167500116397,0.0,0.0,89.91777372732838,44.95888686366419,A,28.5,575.55,61.5,,,,0.0,-2.3634927619050328,-2.632672573801732,1.8280274742360199,10.124876084396892,1.0,[0.37 0.63],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.103,8.2e-05,6e-06,9.7e-05,243.77,3.03,True,0.188,0.000176,1.3e-05,0.000188,243.77,3.03,True,0.008,6e-06,1e-06,7e-06,243.77,3.03,True,271.811,0.18968,0.063266,0.251075,244.44,3.04,Cautious,low,True,0.046,3.3e-05,3e-06,4.3e-05,244.44,3.04,True,4.787,0.004659,5.9e-05,0.004711,244.44,3.04,,5.495529000199895,0.05983299979561707,,,,,,,,,,,,,,
3,2025-11-30T20:01:35.855813+00:00,2025-07-02T20:33:41.748943,0.0,958.0,45.0,79.0,-6.5,49.0,16.0,51.76,0.0,0.0,0.2615707926849562,0.48021957966964746,10.014843025106542,cautious,False,0.105406999864499,etanol,1.0,50.109109999539214,0.0001850003172876,True,Cidade,[0.5 0.5],156.89681299954827,0.0,0.0,127.87595046668336,42.62531682222778,A,28.5,575.55,59.8,,,,0.0,-3.9695492934061436,0.1626341085211278,-4.388469503876694,10.029761260459248,1.0,[0.4 0.6],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.069,5.7e-05,5e-06,6.6e-05,244.44,3.04,True,0.113,0.000104,1e-05,0.000113,244.44,3.04,True,0.006,4e-06,1e-06,6e-06,244.44,3.04,True,131.253,0.086989,0.044122,0.131104,244.44,3.04,Cautious,low,True,0.023,2e-05,0.0,2.1e-05,244.44,3.04,True,2.167,0.002176,0.0,0.00217,244.44,3.04,,2.464847999817721,0.01153699986389256,,,,,,,,,,,,,,
4,2025-11-30T20:01:37.019068+00:00,2025-07-02T20:33:45.852375,0.0,958.0,45.0,79.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,0.02501722690602981,0.20867482803495674,9.802198278515643,cautious,False,0.2172959993913537,etanol,1.0,198.964719000287,0.0001480002538301,True,Rodovia,[0.41 0.59],503.6909400005243,0.0,0.0,127.87595046668336,31.968987616670837,A,28.5,575.55,68.6,,,,0.0,-0.10077769043777085,-1.345565674880158,-2.52465104963701,9.804451138989501,1.0,[0.26 0.74],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.143,0.00013,0.0,0.000137,244.44,3.04,True,0.359,0.000298,0.0,0.0003,244.44,3.04,True,0.01,8e-06,0.0,9e-06,244.44,3.04,True,153.639,0.108307,0.035464,0.143764,243.95,3.03,Cautious,low,True,0.023,1.9e-05,2e-06,2.2e-05,243.95,3.03,True,4.617,0.003844,0.0,0.003831,243.95,3.03,,5.096733000300446,0.02692599991860334,,,,,,,,,,,,,,
5,2025-11-30T20:01:38.299869+00:00,2025-07-02T20:33:49.200907,0.0,951.0,44.0,80.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,-0.39127481306894396,0.11981686353723109,10.223432625676939,cautious,False,0.2987959996971767,etanol,1.0,44.07234499922197,0.0001289990905206,True,Cidade,[0.66 0.34],146.30480000050738,0.0,0.0,128.81720351954016,25.76344070390803,A,28.5,561.22,63.7,,,,0.0,-1.2596355043194252,-4.0911222929514155,-1.5935072933719785,10.231618968271135,0.0,[0.58 0.42],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.072,6.3e-05,0.0,6.8e-05,243.95,3.03,True,0.12,0.00012,0.0,0.00012,243.95,3.03,True,0.006,5e-06,0.0,6e-06,243.95,3.03,True,266.285,0.2167,0.047777,0.264446,244.41,3.04,Cautious,low,True,0.022,1.8e-05,2e-06,2e-05,244.41,3.04,True,2.657,0.002416,0.000264,0.002665,244.41,3.04,,3.1940140002006956,0.028795999696740182,,,,,,,,,,,,,,
6,2025-11-30T20:01:39.565854+00:00,2025-07-02T20:33:52.661470,0.0,951.0,44.0,80.0,-6.5,49.0,16.0,51.76,-5.8432131,-35.1976338,-0.11446817469904347,0.31060901197821833,10.498976639419398,cautious,False,0.1393700003973208,etanol,1.0,60.72995599970454,0.0001670014171395,True,Cidade,[0.66 0.34],162.74378100024478,0.0,0.0,128.81720351954016,21.46953391992336,A,28.5,561.22,60.4,,,,0.0,-1.3712566807574254,4.963902811812318,3.279372422171299,10.504193990802687,0.0,[0.6 0.4],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.071,6.2e-05,0.0,6.7e-05,244.41,3.04,True,0.112,0.000112,0.0,0.000112,244.41,3.04,True,0.006,5e-06,0.0,6e-06,244.41,3.04,True,250.749,0.197224,0.051169,0.248386,244.61,3.04,Cautious,low,True,0.02,1.7e-05,2e-06,2e-05,244.61,3.04,True,1.801,0.001804,0.0,0.001802,244.61,3.04,,2.0067559999006335,0.010741000096459175,,,,,,,,,,,,,,
7,2025-11-30T20:01:40.795158+00:00,2025-07-02T20:33:56.306799,0.0,951.0,44.0,80.0,-7.0,49.0,16.0,51.76,-5.8432131,-35.1976338,-0.25412206212346267,-0.4987352431672468,9.536217516905284,cautious,False,0.1017589984257938,etanol,1.0,43.858809000084875,0.0001299995346926,True,Cidade,[0.67 0.33],149.2835150002065,0.0,0.0,128.81720351954016,18.402457645648592,A,28.5,561.22,65.3,,,,0.0,2.2542659191302574,4.166665630370508,-0.5788748361842373,9.552631019513218,0.0,[0.67 0.33],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.073,6.3e-05,0.0,6.9e-05,244.61,3.04,True,0.112,0.000111,0.0,0.000112,244.61,3.04,True,0.007,5e-06,0.0,6e-06,244.61,3.04,True,215.177,0.16319,0.047654,0.210837,244.86,3.04,Cautious,low,True,0.023,1.8e-05,3e-06,2.2e-05,244.86,3.04,True,2.384,0.0024,0.0,0.002387,244.86,3.04,,2.7593290001277637,0.019814999632217223,,,,,,,,,,,,,,
8,2025-11-30T20:01:42.042514+00:00,2025-07-02T20:33:59.739686,0.0,951.0,44.0,80.0,-7.0,49.0,16.0,51.76,-5.8432131,-35.1976338,-0.30877873007856893,0.08025978418941593,10.46217747444825,cautious,False,0.1100739991670707,etanol,1.0,46.149803998559946,0.0002039996616076,True,Cidade,[0.67 0.33],149.5952560017031,0.0,0.0,128.81720351954016,16.10215043994252,A,28.5,561.22,63.7,,,,0.0,-0.46552696030877083,-1.8348381419449589,-2.727624271964153,10.467040816007142,0.0,[0.59 0.41],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.077,6.1e-05,7e-06,7.4e-05,244.86,3.04,True,0.159,0.000159,0.0,0.000159,244.86,3.04,True,0.008,8e-06,0.0,8e-06,244.86,3.04,True,234.279,0.201246,0.031663,0.232901,244.94,3.04,Cautious,low,True,0.034,2.5e-05,3e-06,3.2e-05,244.94,3.04,True,3.938,0.00393,0.0,0.003924,244.94,3.04,,4.2664380002861435,0.014704000022902619,,,,,,,,,,,,,,
9,2025-11-30T20:01:43.262635+00:00,2025-07-02T20:34:03.135189,0.0,950.0,45.0,80.0,-7.0,49.0,16.0,51.76,-5.8432127,-35.197634,0.20591849503620074,-0.07283837070058163,9.956521278312188,cautious,False,0.1549620010337093,etanol,1.0,51.055772999461624,0.0001480002538301,True,Rodovia,[0.27 0.73],166.086200000791,0.0,0.0,128.9528005758765,14.328088952875166,A,28.5,573.75,64.2,,,,0.0,-0.4452197342798545,4.327719102596815,-0.5879848414988373,9.958916799548415,1.0,[0.32 0.68],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.627,0.000164,0.0,0.000166,244.94,3.04,True,0.234,0.00023,0.0,0.000232,244.94,3.04,True,0.012,8e-06,0.0,1e-05,244.94,3.04,True,207.062,0.136756,0.067575,0.204325,244.95,3.04,Cautious,low,True,0.017,1.3e-05,1e-06,1.6e-05,244.95,3.04,True,2.046,0.002037,0.0,0.002032,244.95,3.04,,2.3666810002396232,0.012037000033160439,,,,,,,,,,,,,,
10,2025-11-30T20:01:44.496334+00:00,2025-07-02T20:34:06.850952,0.0,950.0,45.0,80.0,-7.0,49.0,16.0,51.76,-5.8432127,-35.197634,-0.08569847479882042,-0.10184412953549693,9.853704227111058,cautious,False,0.1034630004141945,etanol,1.0,103.15245300080278,0.0001110001903725,True,Rodovia,[0.38 0.62],205.6711289988016,0.0,0.0,128.9528005758765,12.89528005758765,A,28.5,573.75,68.6,,,,0.0,-4.653791794210175,2.924890807166536,-0.8448293429041946,9.854603160487489,1.0,[0.26 0.74],Highway,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.089,7e-05,9e-06,8.5e-05,244.95,3.04,True,0.159,0.000138,1.9e-05,0.000159,244.95,3.04,True,0.007,5e-06,1e-06,7e-06,244.95,3.04,True,220.536,0.178469,0.039726,0.218185,244.66,3.04,Cautious,low,True,0.03,2.1e-05,2e-06,2.8e-05,244.66,3.04,True,3.354,0.003361,0.0,0.003357,244.66,3.04,,3.7499569998544757,0.040130000343197025,,,,,,,,,,,,,,
