row_id,ts,timestamp,speed,rpm,engine_load,coolant_temp,timing_advance,intake_temp,throttle,fuel_level,latitude,longitude,accel_x,accel_y,accel_z,driver_behavior,teda_flag,teda_inference_time,fuel_type,fuel_type_prob,fuel_type_inference_time,mmcloud_inference_time,eco,tipoVia,tipoVia_prob,city_highway_inference_time,instant_fuel_consumption,distancia,consumo_total,consumo_medio,notaImetro,tempAmbiente,radar_area,temp_rasp,_ts_float,maf,road_type,gyro_z_dps,gyro_x,gyro_y,gyro_z,accel_magnitude,city_highway_int,city_highway_prob,city_highway,maf_estimated,co2_emission,co2_emission_per_km,total_distance,total_consumption,consumption_count,average_consumption,heading,m.teda.run.ok,m.teda.run.wall_ms,m.teda.run.cpu_user_s,m.teda.run.cpu_sys_s,m.teda.run.thread_cpu_s,m.teda.run.rss_mb,m.teda.run.mem_pct,m.mmcloud.process_point.ok,m.mmcloud.process_point.wall_ms,m.mmcloud.process_point.cpu_user_s,m.mmcloud.process_point.cpu_sys_s,m.mmcloud.process_point.thread_cpu_s,m.mmcloud.process_point.rss_mb,m.mmcloud.process_point.mem_pct,m.rf.fuel_type.ok,m.rf.fuel_type.wall_ms,m.rf.fuel_type.cpu_user_s,m.rf.fuel_type.cpu_sys_s,m.rf.fuel_type.thread_cpu_s,m.rf.fuel_type.rss_mb,m.rf.fuel_type.mem_pct,m.rf.city_highway.ok,m.rf.city_highway.wall_ms,m.rf.city_highway.cpu_user_s,m.rf.city_highway.cpu_sys_s,m.rf.city_highway.thread_cpu_s,m.rf.city_highway.rss_mb,m.rf.city_highway.mem_pct,policy_behavior,policy_severity,m.agent.behavior.ok,m.agent.behavior.wall_ms,m.agent.behavior.cpu_user_s,m.agent.behavior.cpu_sys_s,m.agent.behavior.thread_cpu_s,m.agent.behavior.rss_mb,m.agent.behavior.mem_pct,m.agent.safety_gps.ok,m.agent.safety_gps.wall_ms,m.agent.safety_gps.cpu_user_s,m.agent.safety_gps.cpu_sys_s,m.agent.safety_gps.thread_cpu_s,m.agent.safety_gps.rss_mb,m.agent.safety_gps.mem_pct,heading_message,orch_run_ms,orch_llm_enqueue_ms,llm_message,llm_source,llm_latency,llm_total_tokens,llm_input_tokens,llm_output_tokens,llm_total_ms_client,llm_cpu_avg_pct,llm_cpu_max_pct,llm_rss_peak_mb,llm_proc_samples,llm_proc_pid,llm_metrics_source,llm_agent_inserted_behavior_prf
1,2025-11-30T21:12:06.009660+00:00,2025-07-02T17:46:13.559671,0.0,961.0,22.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4204167430246798,-0.35052580250475385,9.675761631996744,normal,False,0.0271110000085172,gasolina,1.0,98.5299880000241,0.0001479999980347,False,Cidade,[0.81 0.19],616.3329820000172,0.0,0.0,3.0211857,3.0211857,A,28.5,105.71,57.6,,,,0.0,-2.422685254453203,-0.22231118390458882,-0.8107853741272937,9.69123220933527,0.0,[0.82 0.18],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.024,1.5e-05,1e-06,2.2e-05,228.44,2.84,True,0.108,0.000103,5e-06,0.000109,228.44,2.84,True,0.006,5e-06,1e-06,6e-06,228.44,2.84,True,150.843,0.087222,0.063525,0.150739,243.22,3.02,Cautious,low,True,0.02,1.7e-05,1e-06,2e-05,243.22,3.02,True,2.244,0.002233,0.0,0.002231,243.22,3.02,,2.46860599872889,0.02364799911447335,Cautious driving is good for safety and fuel economy. Behavior: Cautious. PRF Zone: none.,model,,96,72,24,2109,261.0571428571429,398.7,405.921875,21,19337,server+client,False
2,2025-11-30T21:12:07.390200+00:00,2025-07-02T17:46:17.027402,0.0,961.0,22.0,63.0,0.0,0.0,17.0,69.8,-5.843196,-35.1975245,-0.1473586607502816,0.05290994211336553,9.595242983242267,normal,False,0.1135369999758495,gasolina,1.0,50.838050999999496,0.000166999996054,False,Cidade,[0.84 0.16],168.1044780000036,0.0,0.0,3.0211857,1.51059285,A,28.5,292.71,57.1,,,,0.0,-2.6628807116428055,-4.514886616684127,-3.027237715540595,9.596520303960833,0.0,[0.89 0.11],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.171,0.000143,1e-05,0.000164,243.22,3.02,True,0.294,0.000274,1.9e-05,0.000294,243.22,3.02,True,0.01,8e-06,1e-06,1e-05,243.22,3.02,True,367.888,0.266849,0.083527,0.343927,244.17,3.03,Cautious,low,True,0.108,8.5e-05,8e-06,0.000103,244.17,3.03,True,4.608,0.004559,5.1e-05,0.004593,244.17,3.03,,5.717174999517738,0.0310929990519071,,,,,,,,,,,,,,
3,2025-11-30T21:12:08.536732+00:00,2025-07-02T17:46:20.474007,0.0,961.0,22.0,63.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,-0.0014151808086821926,0.37285377360207017,9.592165080015429,cautious,False,0.0932030000058148,gasolina,1.0,43.98112300000889,0.0001479999980347,True,Cidade,[0.96 0.04],172.88108300002136,0.0,0.0,64.38792625388662,21.46264208462887,A,28.5,292.71,58.7,,,,0.0,-1.4073254503904753,4.327434082181664,0.02496179708392443,9.599408985010141,0.0,[0.97 0.03],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.069,5.6e-05,4e-06,6.7e-05,244.17,3.03,True,0.11,0.000101,9e-06,0.00011,244.17,3.03,True,0.006,4e-06,0.0,5e-06,244.17,3.03,True,131.652,0.095737,0.035824,0.131555,244.36,3.04,Cautious,low,True,0.025,1.9e-05,2e-06,2.3e-05,244.36,3.04,True,2.488,0.002288,0.000217,0.002496,244.36,3.04,,2.8853280000475934,0.02366700027778279,,,,,,,,,,,,,,
4,2025-11-30T21:12:09.689774+00:00,2025-07-02T17:46:24.492771,0.0,961.0,22.0,63.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,-0.37076305552786903,-0.4201147230663632,10.066386386515628,cautious,False,0.2827200000012908,gasolina,1.0,167.38916700001027,0.0001299999894399,True,Cidade,[0.93 0.07],458.02015600000345,0.0,0.0,64.38792625388662,16.096981563471655,A,28.5,292.71,65.3,,,,0.0,1.0367574667384991,-4.838518332003553,-1.6911696075710223,10.08196888045726,0.0,[0.93 0.07],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.071,5.7e-05,5e-06,6.8e-05,244.36,3.04,True,0.127,0.000115,1.1e-05,0.000127,244.36,3.04,True,0.007,5e-06,0.0,7e-06,244.36,3.04,True,143.358,0.112758,0.027995,0.140748,244.25,3.03,Cautious,low,True,0.02,1.5e-05,1e-06,1.8e-05,244.25,3.03,True,1.83,0.001833,0.0,0.001831,244.25,3.03,,2.0347560002846876,0.010686000678106211,,,,,,,,,,,,,,
5,2025-11-30T21:12:10.941102+00:00,2025-07-02T17:46:27.898848,0.0,993.0,17.0,64.0,-10.5,39.0,17.0,69.8,-5.843196,-35.1975245,-0.16009029972818767,-0.026708100671747337,10.021263580063534,cautious,False,0.0987960000031762,gasolina,1.0,44.8251560000017,0.0001299999894399,True,Cidade,[1. 0.],160.08157600001027,0.0,0.0,62.3129880463092,12.46259760926184,A,28.5,228.905,60.4,,,,0.0,-0.8471115539575997,-2.1703674752472804,-4.032766376360159,10.022577810514436,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.083,6.8e-05,6e-06,8e-05,244.25,3.03,True,0.234,0.000213,2.1e-05,0.000234,244.25,3.03,True,0.009,6e-06,0.0,8e-06,244.25,3.03,True,242.712,0.153251,0.054679,0.207924,244.36,3.04,Cautious,low,True,0.058,5e-05,6e-06,5.8e-05,244.36,3.04,True,6.689,0.006639,0.0,0.006634,244.36,3.04,,7.217930999104283,0.012444999811123125,,,,,,,,,,,,,,
6,2025-11-30T21:12:12.228581+00:00,2025-07-02T17:46:31.317074,0.0,993.0,17.0,64.0,-10.5,39.0,16.0,69.8,-5.843196,-35.1975245,0.39304119712148566,-0.06633482664449308,9.656402969162633,cautious,False,0.1977949999911743,gasolina,1.0,44.729951999983086,0.0001479999980347,True,Cidade,[1. 0.],163.75457499998447,0.0,0.0,62.3129880463092,10.3854980077182,A,28.5,220.405,60.4,,,,0.0,-1.6587695601231776,1.893073895693278,-0.7161446287816648,9.664626221158972,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.092,7.3e-05,8e-06,8.7e-05,244.36,3.04,True,0.247,0.000219,2.4e-05,0.000246,244.36,3.04,True,0.009,6e-06,1e-06,8e-06,244.36,3.04,True,264.912,0.184069,0.079221,0.263279,244.61,3.04,Cautious,low,True,0.057,4.3e-05,6e-06,5.3e-05,244.61,3.04,True,4.356,0.004342,4.4e-05,0.004369,244.61,3.04,,5.269045999739319,0.013906999811297283,,,,,,,,,,,,,,
7,2025-11-30T21:12:13.453848+00:00,2025-07-02T17:46:34.923924,0.0,993.0,17.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,0.2309960930808287,-0.042740371411878475,9.714841299688457,cautious,False,0.2231099999789876,gasolina,1.0,56.73074200001338,0.000166999996054,True,Cidade,[1. 0.],172.55015800000706,0.0,0.0,76.52472216213413,10.93210316601916,A,28.5,220.405,63.1,,,,0.0,-4.251684044973436,-3.5479321097198193,-4.548171006392582,9.717681174668138,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.216,0.000179,2.2e-05,0.00021,244.61,3.04,True,0.33,0.000295,3.7e-05,0.000331,244.61,3.04,True,0.013,8e-06,1e-06,1.1e-05,244.61,3.04,True,210.694,0.143031,0.067627,0.210653,244.61,3.04,Cautious,low,True,0.018,1.5e-05,1e-06,1.7e-05,244.61,3.04,True,2.695,0.002707,0.0,0.002699,244.61,3.04,,3.0472540001937887,0.02120300086971838,,,,,,,,,,,,,,
8,2025-11-30T21:12:14.681102+00:00,2025-07-02T17:46:38.322568,0.0,993.0,17.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,-0.1867237507369367,-0.37423342273670424,10.040798781927144,cautious,False,0.1747769999838055,gasolina,1.0,42.17105899999751,0.0002230000006875,True,Cidade,[0.99 0.01],167.47411099999,0.0,0.0,76.52472216213413,9.565590270266766,A,28.5,220.405,60.4,,,,0.0,2.4949436766859705,4.809450312004271,-0.6855075389291398,10.04950529095498,0.0,[1. 0.],City,False,0.0,0.0,0.0,0.0,1,0.0,N,True,0.127,9.8e-05,1.3e-05,0.000121,244.61,3.04,True,0.253,0.000204,2.7e-05,0.000231,244.61,3.04,True,0.008,6e-06,1e-06,7e-06,244.61,3.04,True,216.352,0.150954,0.060216,0.211163,244.64,3.04,Cautious,low,True,0.029,2.2e-05,3e-06,2.7e-05,244.64,3.04,True,2.162,0.001898,0.000271,0.002164,244.64,3.04,,2.468439999574912,0.029445000109262764,,,,,,,,,,,,,,
9,2025-11-30T21:12:15.922375+00:00,2025-07-02T17:46:41.727730,6.0,1327.0,39.0,64.0,-13.0,39.0,16.0,69.8,-5.8431958,-35.1975247,0.408553328582298,0.42801796443585316,9.89005757596637,normal,True,0.1101659999847015,gasolina,1.0,48.11556499998915,0.0001299999894399,False,Cidade,[0.8 0.2],170.40161400001352,0.0,0.0016666666666666,2134.929467929132,237.21438532545912,A,28.5,658.575,60.9,,,,0.0,2.0667916920828846,-1.4280804905190059,4.045022110801227,9.907742127049193,0.0,[0.83 0.17],City,False,0.0,0.0,0.0016666666666666668,0.0,1,0.0,N,True,0.076,6.8e-05,0.0,7.3e-05,244.64,3.04,True,0.153,0.000152,0.0,0.000152,244.64,3.04,True,0.006,5e-06,0.0,6e-06,244.64,3.04,True,227.642,0.175123,0.051177,0.226293,244.64,3.04,Cautious,low,True,0.02,1.4e-05,2e-06,1.8e-05,244.64,3.04,True,1.802,0.001807,0.0,0.001804,244.64,3.04,,2.0241439997334965,0.009388999387738295,,,,,,,,,,,,,,
10,2025-11-30T21:12:17.136157+00:00,2025-07-02T17:46:45.547439,6.0,1327.0,39.0,65.0,-13.0,39.0,22.0,69.8,-5.8431958,-35.1975247,0.29530798947796444,0.3727956880879866,10.25430944859208,normal,True,0.4046650000191221,gasolina,1.0,205.43609899999635,0.0001299999894399,False,Cidade,[0.76 0.24],198.43215399998823,0.0,0.0016666666666666,2134.929467929132,213.4929467929132,A,28.5,793.575,63.7,,,,0.0,1.77892266523875,-3.0180824791450833,4.573272016998322,10.265332225563444,0.0,[0.76 0.24],City,False,0.0,0.0,0.0016666666666666668,0.0,1,0.0,N,True,0.122,0.000105,0.0,0.000116,244.64,3.04,True,0.217,0.000218,0.0,0.000218,244.64,3.04,True,0.013,1.3e-05,0.0,1.3e-05,244.64,3.04,True,202.685,0.155111,0.04341,0.198516,244.77,3.04,Cautious,low,True,0.017,1.3e-05,2e-06,1.6e-05,244.77,3.04,True,1.736,0.001509,0.000229,0.001737,244.77,3.04,,1.9309029994474258,0.00733299930288922,,,,,,,,,,,,,,
